,HTRK_VEN01_COM01_P,HTRK_VEN01_EM01_P
2025-04-30 22:00:00+00:00,0.0,0.015517241400000001
2025-04-30 22:15:00+00:00,0.0,0.014482758600000001
2025-04-30 22:30:00+00:00,0.0,0.015
2025-04-30 22:45:00+00:00,0.0,0.06551778330000001
2025-04-30 23:00:00+00:00,0.0,0.105
2025-04-30 23:15:00+00:00,0.0,0.1048275862
2025-04-30 23:30:00+00:00,0.0,0.105
2025-04-30 23:45:00+00:00,0.0,0.1052044444
2025-05-01 00:00:00+00:00,0.0,0.105
2025-05-01 00:15:00+00:00,0.0,0.105
2025-05-01 00:30:00+00:00,0.0,0.105
2025-05-01 00:45:00+00:00,0.0,0.105
2025-05-01 01:00:00+00:00,0.0,0.1048275862
2025-05-01 01:15:00+00:00,0.0,0.105
2025-05-01 01:30:00+00:00,0.0,0.105
2025-05-01 01:45:00+00:00,0.0,0.105
2025-05-01 02:00:00+00:00,0.0,0.1048275862
2025-05-01 02:15:00+00:00,0.0,0.1051724138
2025-05-01 02:30:00+00:00,0.0,0.1053
2025-05-01 02:45:00+00:00,0.0,0.105
2025-05-01 03:00:00+00:00,0.0,1.7686370504000002
2025-05-01 03:15:00+00:00,-0.0666666667,3.2696631869
2025-05-01 03:30:00+00:00,-0.9688997743000001,3.2988448061
2025-05-01 03:45:00+00:00,0.0,3.0996476493
2025-05-01 04:00:00+00:00,0.0,3.6863218042
2025-05-01 04:15:00+00:00,0.0,4.3581789351
2025-05-01 04:30:00+00:00,0.0,5.0649243295
2025-05-01 04:45:00+00:00,0.0,5.3371679337
2025-05-01 05:00:00+00:00,0.0,5.4177934213
2025-05-01 05:15:00+00:00,0.0,5.6470953956
2025-05-01 05:30:00+00:00,0.0,5.7732451178
2025-05-01 05:45:00+00:00,0.0,5.8085508038
2025-05-01 06:00:00+00:00,0.0,5.8249752164
2025-05-01 06:15:00+00:00,0.0,6.0644047591
2025-05-01 06:30:00+00:00,0.0,6.2913572605
2025-05-01 06:45:00+00:00,0.0,6.5563215496
2025-05-01 07:00:00+00:00,0.0,6.8762319832
2025-05-01 07:15:00+00:00,0.0,7.2867241379
2025-05-01 07:30:00+00:00,0.0,7.6374447603
2025-05-01 07:45:00+00:00,0.0,7.9630211404
2025-05-01 08:00:00+00:00,0.0,8.3664995041
2025-05-01 08:15:00+00:00,0.0,8.5171841874
2025-05-01 08:30:00+00:00,0.0,8.8760427355
2025-05-01 08:45:00+00:00,0.0,9.3463427502
2025-05-01 09:00:00+00:00,0.0,9.453097092
2025-05-01 09:15:00+00:00,0.0,9.8057855729
2025-05-01 09:30:00+00:00,0.0,9.9936033411
2025-05-01 09:45:00+00:00,-0.1344827586,10.4649860887
2025-05-01 10:00:00+00:00,-1.8555008210000001,10.7826524035
2025-05-01 10:15:00+00:00,-3.3896825397,11.1587833486
2025-05-01 10:30:00+00:00,-7.0970744102,11.4569453973
2025-05-01 10:45:00+00:00,-8.637550882,11.7734965418
2025-05-01 11:00:00+00:00,-9.1487037037,12.0670192393
2025-05-01 11:15:00+00:00,-13.2417575991,12.357794277
2025-05-01 11:30:00+00:00,-16.5951111111,12.4598940171
2025-05-01 11:45:00+00:00,-26.5182344725,12.7182753223
2025-05-01 12:00:00+00:00,-55.134823169,12.9333483628
2025-05-01 12:15:00+00:00,-55.5061379561,13.0608674682
2025-05-01 12:30:00+00:00,-39.6415481071,12.972485302599999
2025-05-01 12:45:00+00:00,-35.3750306016,12.9637707627
2025-05-01 13:00:00+00:00,-34.5386363636,12.784861563
2025-05-01 13:15:00+00:00,-29.0988328665,12.8826261777
2025-05-01 13:30:00+00:00,-28.0508301756,12.628201898
2025-05-01 13:45:00+00:00,-29.1458663494,12.6207689177
2025-05-01 14:00:00+00:00,-29.6545244879,12.2545859829
2025-05-01 14:15:00+00:00,-36.7033261183,11.9886304891
2025-05-01 14:30:00+00:00,-39.5254073513,12.1153405732
2025-05-01 14:45:00+00:00,-44.9879545455,12.1705371191
2025-05-01 15:00:00+00:00,-35.5554501926,4.4428773347
2025-05-01 15:15:00+00:00,-18.7326984127,3.2494714286
2025-05-01 15:30:00+00:00,-12.6077654952,3.3489016955
2025-05-01 15:45:00+00:00,-14.5698537744,3.3428107876
2025-05-01 16:00:00+00:00,-12.3029254079,3.2216137141
2025-05-01 16:15:00+00:00,-10.7697031039,3.2207667046
2025-05-01 16:30:00+00:00,-12.2814484502,3.2248702383
2025-05-01 16:45:00+00:00,-13.1554185464,3.2559820595
2025-05-01 17:00:00+00:00,-10.9805555556,3.2440928571
2025-05-01 17:15:00+00:00,-3.2989625317,3.2131728616
2025-05-01 17:30:00+00:00,-2.2249925914,3.2070450737
2025-05-01 17:45:00+00:00,-1.8825267094,3.1954890465
2025-05-01 18:00:00+00:00,0.0,0.4921322067
2025-05-01 18:15:00+00:00,0.0,0.015
2025-05-01 18:30:00+00:00,0.0,0.0183333333
2025-05-01 18:45:00+00:00,0.0,0.015
2025-05-01 19:00:00+00:00,0.0,0.014947446100000001
2025-05-01 19:15:00+00:00,0.0,0.015
2025-05-01 19:30:00+00:00,0.0,0.015
2025-05-01 19:45:00+00:00,0.0,0.014482758600000001
2025-05-01 20:00:00+00:00,0.0,0.015
2025-05-01 20:15:00+00:00,0.0,0.015
2025-05-01 20:30:00+00:00,0.0,0.015517241400000001
2025-05-01 20:45:00+00:00,0.0,0.014482758600000001
2025-05-01 21:00:00+00:00,0.0,0.015
2025-05-01 21:15:00+00:00,0.0,0.015
2025-05-01 21:30:00+00:00,0.0,0.015
2025-05-01 21:45:00+00:00,0.0,0.014482758600000001
2025-05-01 22:00:00+00:00,0.0,0.015
2025-05-01 22:15:00+00:00,0.0,0.015517241400000001
2025-05-01 22:30:00+00:00,0.0,0.014482758600000001
2025-05-01 22:45:00+00:00,0.0,0.015
2025-05-01 23:00:00+00:00,0.0,0.015
2025-05-01 23:15:00+00:00,0.0,0.0401636364
2025-05-01 23:30:00+00:00,0.0,0.0162697194
2025-05-01 23:45:00+00:00,0.0,0.015
2025-05-02 00:00:00+00:00,0.0,0.015
2025-05-02 00:15:00+00:00,0.0,0.014482758600000001
2025-05-02 00:30:00+00:00,0.0,0.015
2025-05-02 00:45:00+00:00,0.0,0.015517241400000001
2025-05-02 01:00:00+00:00,0.0,0.015
2025-05-02 01:15:00+00:00,0.0,0.014482758600000001
2025-05-02 01:30:00+00:00,0.0,0.015
2025-05-02 01:45:00+00:00,0.0,0.015
2025-05-02 02:00:00+00:00,0.0,0.015
2025-05-02 02:15:00+00:00,0.0,0.014482758600000001
2025-05-02 02:30:00+00:00,0.0,0.015
2025-05-02 02:45:00+00:00,0.0,0.015
2025-05-02 03:00:00+00:00,0.0,3.3489464286
2025-05-02 03:15:00+00:00,-0.033333333300000004,3.199146202
2025-05-02 03:30:00+00:00,-0.40240740740000003,3.1640796295999998
2025-05-02 03:45:00+00:00,0.0,3.0877250894
2025-05-02 04:00:00+00:00,0.0,3.4668238533
2025-05-02 04:15:00+00:00,0.0,4.2316843285
2025-05-02 04:30:00+00:00,0.0,4.9208434848
2025-05-02 04:45:00+00:00,0.0,5.2975020598
2025-05-02 05:00:00+00:00,0.0,5.4762104759
2025-05-02 05:15:00+00:00,0.0,5.4161750743
2025-05-02 05:30:00+00:00,0.0,5.6328336147
2025-05-02 05:45:00+00:00,0.0,5.7715281462
2025-05-02 06:00:00+00:00,0.0,5.9367908319
2025-05-02 06:15:00+00:00,0.0,5.9841516291
2025-05-02 06:30:00+00:00,0.0,6.1702658755
2025-05-02 06:45:00+00:00,0.0,6.2459196241
2025-05-02 07:00:00+00:00,0.0,6.3326096116
2025-05-02 07:15:00+00:00,-0.1333333333,6.5511554386
2025-05-02 07:30:00+00:00,-2.2307391196,6.7217942679
2025-05-02 07:45:00+00:00,-2.9310344828,6.8168118261
2025-05-02 08:00:00+00:00,-5.5994708995,6.6507615741
2025-05-02 08:15:00+00:00,-6.9516217013,6.7976949838
2025-05-02 08:30:00+00:00,-0.6206896552,6.9928440066
2025-05-02 08:45:00+00:00,0.0,6.7245401384
2025-05-02 09:00:00+00:00,0.0,6.5391800345
2025-05-02 09:15:00+00:00,0.0,6.4250038759
2025-05-02 09:30:00+00:00,0.0,6.2659083694
2025-05-02 09:45:00+00:00,0.0,6.1708078866000005
2025-05-02 10:00:00+00:00,0.0,6.0922951933
2025-05-02 10:15:00+00:00,0.0,5.922929064
2025-05-02 10:30:00+00:00,0.0,5.9837546553
2025-05-02 10:45:00+00:00,0.0,6.010598674
2025-05-02 11:00:00+00:00,0.0,5.9501312703
2025-05-02 11:15:00+00:00,0.0,5.9559629569
2025-05-02 11:30:00+00:00,0.0,6.0188023436
2025-05-02 11:45:00+00:00,0.0,5.8731292367
2025-05-02 12:00:00+00:00,0.0,6.0790354534
2025-05-02 12:15:00+00:00,0.0,6.0720806111
2025-05-02 12:30:00+00:00,0.0,6.3637836133
2025-05-02 12:45:00+00:00,0.0,6.5900201662
2025-05-02 13:00:00+00:00,0.0,6.8324089448
2025-05-02 13:15:00+00:00,0.0,7.08028467
2025-05-02 13:30:00+00:00,0.0,7.2328357894
2025-05-02 13:45:00+00:00,0.0,7.3262002334
2025-05-02 14:00:00+00:00,0.0,3.6135023773
2025-05-02 14:15:00+00:00,0.0,3.1718321597
2025-05-02 14:30:00+00:00,0.0,3.0276427707
2025-05-02 14:45:00+00:00,0.0,2.9807121898
2025-05-02 15:00:00+00:00,0.0,2.9469637591
2025-05-02 15:15:00+00:00,0.0,2.950045635
2025-05-02 15:30:00+00:00,0.0,3.0293018595
2025-05-02 15:45:00+00:00,0.0,3.009608637
