,R05_07_N_CO201,R05_07_N_FCI01_1,R05_07_N_MVV01,R05_07_N_TRU01,R05_07_V_CO201,R05_07_V_FCI01_1,R05_07_V_MVV01,R05_07_V_TRU01,HTR9_VEN01_TI01,HTR9_VES01_AZ01,HTR9_VES01_SI01,HTR9_VES01_SV01,HTR9_VES01_TUD01
2025-08-03 00:00:00+00:00,425.4933333,0,0,23.7,424,0,0,23.48,24.7,10.66085714,0,-16.88485714,16.53266667
2025-08-03 00:05:00+00:00,426.0708333,0,0,23.7,424,0,0,23.4,24.7,11.82,0,-16.78,16.6
2025-08-03 00:10:00+00:00,426.7444444,0,0,23.7,423.9664762,0,0,23.4,24.7,12.98909091,0,-16.64909091,16.6
2025-08-03 00:15:00+00:00,425.8727273,0,0,23.7,424,0,0,23.4,24.7,14.3375,0,-16.44583333,16.6
2025-08-03 00:20:00+00:00,425.4470588,0,0,23.7,423.7870968,0,0,23.4,24.7,15.142,0,-16.356,16.6
2025-08-03 00:25:00+00:00,426.325,0,0,23.7,423.0166667,0,0,23.4,24.7,16.79333333,0,-16.05,16.6
2025-08-03 00:30:00+00:00,426.0434783,0,0,23.7,423,0,0,23.4,24.7,17.9231746,0,-15.84666667,16.61428571
2025-08-03 00:35:00+00:00,425.8936508,0,0,23.7,422.9333333,0,0,23.4,24.7,19.0425,0,-15.705,16.682
2025-08-03 00:40:00+00:00,425.1444444,0,0,23.7,422.8782051,0,0,23.4,24.7,20.275,0,-15.39444444,16.7
2025-08-03 00:45:00+00:00,426.0253268,0,0,23.7,422.4036224,0,0,23.4,24.7,21.36266667,0,-15.19555556,16.69422222
2025-08-03 00:50:00+00:00,426.7968254,0,0,23.7,422.5809524,0,0,23.4,24.7,22.76873016,0,-14.895,16.7
2025-08-03 00:55:00+00:00,426.7011538,0,0,23.7,421.9568831,0,0,23.4,24.7,24.00675325,0,-14.58,16.66524675
2025-08-03 01:00:00+00:00,426.273262,0,0,23.7,422.7666667,0,0,23.4,24.7,24.9625,0,-14.36428571,16.6
2025-08-03 01:05:00+00:00,425.4383732,0,0,23.66,422.0825541,0,0,23.4,24.63828571,26.18444444,0,-14.0125,16.6
