,R01_06_CO201,R01_06_FCI01,R01_06_MVV01,R01_06_TRU01,HTR9_VES01_SI01,HTR9_VES01_TUD01,HTRK_RAD03_TF01,HTRK_VEN01_SpTI01_C,HTR9_VES01_AZ01,HTR9_VES01_SV01
2025-09-01 00:00:00+00:00,433.68,253.3349282,0,25.36727273,0,20.26,26.6,10,13.42857143,-25.88
2025-09-01 00:05:00+00:00,433,251.1454545,0,25.4,0,20.34040385,26.6,10,14.83626374,-25.72
2025-09-01 00:10:00+00:00,432.5022727,251.32,0,25.23111111,0,20.1396,26.6,10,16.12,-25.516
2025-09-01 00:15:00+00:00,433.2818182,251.6923077,0,25.2,0,20.24,26.6,10,17.302,-25.358
2025-09-01 00:20:00+00:00,433.8,253.05,0,25.27592593,0,20.14888889,26.6,10,18.84479167,-25.14375
2025-09-01 00:25:00+00:00,434.5466667,251.7735338,0,25.19092611,0,20.43571429,26.6,10,19.88211111,-24.91789899
2025-09-01 00:30:00+00:00,435.2308275,252.0993806,0,25.12642309,0,20.352,26.6,10,21.258,-24.644
2025-09-01 00:35:00+00:00,434.9461538,250.9375,0,25.04929293,0,20.26366667,26.6,10,22.696,-24.38066667
2025-09-01 00:40:00+00:00,435.55,251.4757576,0,25.01,0,20.70955556,26.6,10,24.17090909,-24.02808081
2025-09-01 00:45:00+00:00,435.7414585,250.7776224,0,25,0,20.77777778,26.6,10,25.31460317,-23.8210101
2025-09-01 00:50:00+00:00,434.625,254.0666667,0,25.00615385,0,20.29365079,26.6,10,26.82496032,-23.41972222
2025-09-01 00:55:00+00:00,434.0769231,255.1035263,0,25.01796569,0,20.32727273,26.6,10,27.42222222,-23.26666667
2025-09-01 01:00:00+00:00,434.2641026,251.6060606,0,25.08844444,0,20.47490909,26.6,10,29.10088889,-22.83466667
2025-09-01 01:05:00+00:00,433.6507937,253.5671795,0,25.05814516,0,20.268,26.6,10,30.46842063,-22.46
2025-09-01 01:10:00+00:00,432.7480519,251.2791398,0,25.02730838,0,19.877,26.6,10,31.62777778,-22.14285714
2025-09-01 01:15:00+00:00,432.7,249.8682038,0,25.01272727,0,19.70666667,26.6,10,33.24030303,-21.61606061
2025-09-01 01:20:00+00:00,432,249.5063973,0,24.91434343,0,19.81818182,26.6,10,34.048,-21.38222222
2025-09-01 01:25:00+00:00,431.7777778,252.625,0,25,0,20.25,26.6,10,35.49722222,-20.90833333
2025-09-01 01:30:00+00:00,431.8888889,253.3022222,0,25,0,19.73555556,26.6,10,36.785,-20.49333333
2025-09-01 01:35:00+00:00,432.569697,251.3610784,0,24.93078431,0,19.4,26.6,10,37.97292063,-20.05333333
2025-09-01 01:40:00+00:00,432.3123321,251.3048148,0,24.80857143,0,19.48,26.6,10,39.27018182,-19.58
2025-09-01 01:45:00+00:00,433,252.5509091,0,24.82857143,0,19.46590476,26.6,10,40.565,-19.10933333
2025-09-01 01:50:00+00:00,432.5778571,254.6872286,0,24.9,0,19.30691429,26.6,10,41.81313131,-18.65099928
2025-09-01 01:55:00+00:00,432.1416667,254.4546287,0,24.9,0,19.11256536,26.6,10,42.6375,-18.32638889
2025-09-01 02:00:00+00:00,433.4222222,252.65,0,24.868,0,18.5,26.6,10,43.8,-17.8
2025-09-01 02:05:00+00:00,432.0682692,251.938,0,24.7845,0,18.30012987,26.58509615,10,44.49816667,-17.49777778
2025-09-01 02:10:00+00:00,433.2050505,251.2224138,0,24.71,0,18.019,26.51,10,46.34257143,-16.72888889
2025-09-01 02:15:00+00:00,433.2333333,251.3971751,0,24.7,0,18.224,26.5,10,47.5,-16.2
2025-09-01 02:20:00+00:00,432.01,254.8415459,0,24.72092105,0,18.731,26.5,10,48.74571429,-15.65142857
2025-09-01 02:25:00+00:00,433,255.1111111,0,24.8,0,18.63111111,26.5,10,50.1625,-15.00571429
2025-09-01 02:30:00+00:00,433.0277778,255.9137931,0,24.8,0,19.1025,26.5,10,51.03035714,-14.58333333
2025-09-01 02:35:00+00:00,432.9004177,254.6816017,0,24.78,0,19.09882353,26.5,10,51.88028571,-14.16666667
2025-09-01 02:40:00+00:00,432.6126623,251.3598168,0,24.62217391,0,19.02935714,26.5,10,53.42821429,-13.37964286
2025-09-01 02:45:00+00:00,432.12,252.388484,0,24.57714286,0,19.42272727,26.5,10,54.55628571,-12.8
2025-09-01 02:50:00+00:00,432.6,252,0,24.5,0,19.54666667,26.5,10,55.26,-12.44666667
2025-09-01 02:55:00+00:00,431.0181818,252.3473684,0,24.5,0,19.21612208,26.5,10,56.71949206,-11.60571429
2025-09-01 03:00:00+00:00,431.95,245.3409091,0,24.5047619,0,19.16142857,26.446875,16.03030303,57.87142857,-11.00714286
2025-09-01 03:05:00+00:00,430,26.55714286,0,24.58714286,0,18.74093651,26.4,17.0004934,58.96514685,-10.46178322
2025-09-01 03:10:00+00:00,429.8,242.1454545,0,24.5,0,19.08,26.4,17,60.06527778,-9.816
2025-09-01 03:15:00+00:00,429,242.7165501,0,24.59227273,0,19.362,26.4,17,61,-9.2
2025-09-01 03:20:00+00:00,428.925,246.5076923,0,24.6,0,19.35857143,26.4,17,62.29428571,-8.48
2025-09-01 03:25:00+00:00,428.8772727,243.0566667,0,24.6,0,19.61428571,26.4,17,63.29142857,-7.9
2025-09-01 03:30:00+00:00,428.238961,242.8372775,0,24.57384615,0,19.7,26.4,17,63.7,-7.7
2025-09-01 03:35:00+00:00,430,257,0,24.4,0,19.43916667,26.4,17,65.46973214,-6.567013889
2025-09-01 03:40:00+00:00,430,252.5188426,0,24.44730876,0,19.69399767,26.4,17,65.96545455,-6.293333333
2025-09-01 03:45:00+00:00,430.8984127,246.4961039,0,24.5,0.001923077,19.88817949,26.4,17,67.49795238,-5.390909091
2025-09-01 03:50:00+00:00,430.3578947,247.6198783,0,24.36965125,0.082163777,19.95375354,26.4,17,68.13392857,-4.987692308
2025-09-01 03:55:00+00:00,429.1692308,252.5463203,0,24.38285714,0.272508564,19.94615385,26.4,17,69.534,-4.053333333
2025-09-01 04:00:00+00:00,430.8858586,253.7639216,0,24.21333333,0.566666667,20.04,26.4,17,70.785,-3.2475
2025-09-01 04:05:00+00:00,430.8564103,249.8987102,0,24.2,0.756419241,20.00833333,26.4,17,71.275,-2.95
2025-09-01 04:10:00+00:00,431.0888889,252.3,0,24.29272727,1.650257143,20.24111111,26.4,17,72.65472222,-2.011071429
2025-09-01 04:15:00+00:00,430.46,249.7390026,0,24.3,2.33778681,20.25107143,26.4,17,73.43142857,-1.523736264
2025-09-01 04:20:00+00:00,429.5707071,243.6085185,0,24.3,3.943221256,19.93496032,26.4,17,74.72190476,-0.652857143
2025-09-01 04:25:00+00:00,429,248.8398016,0,24.3,6.225468254,20.11646154,26.4,17,75.65348485,0.001444444
2025-09-01 04:30:00+00:00,429,252.2575758,0,24.3,9.716103896,20.26797619,26.4,17,76.86531469,0.673164336
2025-09-01 04:35:00+00:00,432,246.75,0,24.3,13.41966688,20.20892857,26.375,17,77.73533654,1.279807692
2025-09-01 04:40:00+00:00,429.9272727,247.2222222,0,24.3,18.69847619,20.22866667,26.3,17,78.88555556,2.060777778
2025-09-01 04:45:00+00:00,429.8090909,247.1071429,0,24.29270046,21.88447059,20.24,26.3,17,79.66,2.576666667
2025-09-01 04:50:00+00:00,430.3611111,246.278,0,24.3,23.71038462,20.38506667,26.3,17,80.84860606,3.374484849
2025-09-01 04:55:00+00:00,430.7333333,247.8,0,24.216,22.08463253,20.41627579,26.3,17,81.98785714,4.203571429
2025-09-01 05:00:00+00:00,430.7215476,247.9350682,0,24.2290293,24.30086531,20.37475079,26.3,17,82.71352381,4.710126984
2025-09-01 05:05:00+00:00,430,244.0936364,0,24.3,33.76810396,20.2521875,26.24375,17,84.12395833,5.664583333
2025-09-01 05:10:00+00:00,431.2,246.84,0,24.23833333,31.19674831,20.28259524,26.2,17,84.96321678,6.236643357
2025-09-01 05:15:00+00:00,432,249.7501817,0,24.2,31.8290854,20.40307692,26.2,17,85.72769231,6.818461539
2025-09-01 05:20:00+00:00,436.9955556,248.2547841,0,24.2,31.782124,20.4138042,26.2,17,86.81353069,7.542885781
2025-09-01 05:25:00+00:00,447.6888889,246.1479699,0,24.2,33.80434135,20.34363636,26.2,17,88.18888889,8.510222222
2025-09-01 05:30:00+00:00,451.1865553,248.4628017,0,24.2,38.97042117,20.39909343,26.2,17,89.17948498,9.195553646
2025-09-01 05:35:00+00:00,445.6666667,247.9458556,0,24.2,47.72304924,20.40052632,26.2,17,90.08717105,9.772039474
2025-09-01 05:40:00+00:00,443.0454545,248.3192481,0,24.2,63.83714973,20.46153846,26.2,17,90.99807692,10.42924242
2025-09-01 05:45:00+00:00,441.8594118,250.0613137,0,24.17039768,65.51063393,20.9,26.2,17,92.14166667,11.23555556
2025-09-01 05:50:00+00:00,439.2,244.6993651,0,24.1,163.98,20.9,26.2,17,93,11.8
2025-09-01 05:55:00+00:00,438,245.2976623,0,24.1,146.3728658,20.90886667,26.2,17,94.2355,12.6535
2025-09-01 06:00:00+00:00,438.6,251.0909091,0,24.1,120.0984901,20.97563636,26.2,17,95.45010101,13.46
2025-09-01 06:05:00+00:00,439,253.092,0,24.1,108.2458167,20.95487363,26.2,17,96.35752137,14.11642358
2025-09-01 06:10:00+00:00,439.2735043,249.4465241,0,24.1,92.64291667,20.8375,26.2,17,97.596875,14.98928571
2025-09-01 06:15:00+00:00,440.7,249.7033181,0,24.1,99.03234161,20.93066667,26.2,17,98.388,15.46666667
2025-09-01 06:20:00+00:00,443.6,246.7071429,0,24.1,88.37481429,20.95,26.2,17,99.77142857,16.38333333
2025-09-01 06:25:00+00:00,446,249,0,24.1,148.7102037,21.139,26.2,17,100.7088889,17.03833333
2025-09-01 06:30:00+00:00,455.684127,248.91,0,24.1,261.6691866,21.30531746,26.2,17,101.9093182,17.80818182
2025-09-01 06:35:00+00:00,466.7183761,246.9894135,0,24.1,156.2148665,21.13407143,26.2,17,102.9123333,18.44328571
2025-09-01 06:40:00+00:00,476.5130952,246.5466872,0,24.1,156.985003,21.025875,26.2,17,103.7555556,18.97063492
2025-09-01 06:45:00+00:00,481.3904762,248.3214545,0,24.1,133.5157513,20.99833333,26.19095238,17,104.9355556,19.7
2025-09-01 06:50:00+00:00,476.01,251.0783217,0,24.1,268.238155,21.18610989,26.1,17,106.1913095,20.52441558
2025-09-01 06:55:00+00:00,471.25,247.7714286,0,24.1,286.7286235,21.48281313,26.1,17,107.39,21.29764286
2025-09-01 07:00:00+00:00,473.2,251.3333333,0,24.1,138.1477436,21.38375,26.1,17,108.5775,22.02
2025-09-01 07:05:00+00:00,493.2,246.0759259,0,24.1554386,140.2400259,21.486,26.1,17,109.4,22.52
2025-09-01 07:10:00+00:00,555.1384615,246.9398413,0,24.32427315,168.1811105,20.89933333,26.1,17,110.534,23.152
2025-09-01 07:15:00+00:00,578.4722222,253.0842593,0,24.5,316.6908232,21.4528305,26.1,17,111.6952681,23.83378788
2025-09-01 07:20:00+00:00,587.3836842,254.2349759,0,24.52952381,389.1503042,21.54994048,26.1,17,112.729011,24.38636364
2025-09-01 07:25:00+00:00,592.8035714,249.97,0,24.6,404.5153576,21.86544762,26.1,17,114.3335714,25.32285714
2025-09-01 07:30:00+00:00,584.7944444,248.4530303,0,24.6,385.180618,22.208,26.1,17,115.3087619,25.89419048
