,R01_06_CO201,R01_06_FCI01,R01_06_TRU01,HTR9_VES01_AZ01,HTR9_VES01_SI01,HTR9_VES01_SV01,HTR9_VES01_TUD01,HTR9_VEN01_TI01,R01_02_TRU01,R01_07_TRU01
2025-07-31 22:00:00+00:00,459.5111111,72.68881119,24.5,341.02,0,-15.06444444,17.58,20.1,24.6,24.4
2025-07-31 22:05:00+00:00,459.58,71,24.5,342.205619,0,-15.3025,17.31531818,20,24.6,24.4
2025-07-31 22:10:00+00:00,459.3,71.13896173,24.5,343.3,0,-15.5,17.5,19.9985,24.6,24.4
2025-07-31 22:15:00+00:00,461.642735,71.86103896,24.5,344.584127,0,-15.704,17.70408333,19.91681818,24.50909091,24.4
2025-07-31 22:20:00+00:00,462,71.74858671,24.5,345.8512857,0,-15.88,17.76066912,19.9,24.4,24.4
2025-07-31 22:25:00+00:00,462.3480159,69.245837,24.5,347.1470303,0,-16.06,17.58,19.9,24.44961803,24.35027328
2025-07-31 22:30:00+00:00,463.3690476,68.29047619,24.5,348.2822222,0,-16.20333333,17.56722222,19.9,24.49722222,24.30277778
2025-07-31 22:35:00+00:00,464.9333333,69.53333333,24.53333333,349.48,0,-16.37142857,17.32,19.9,24.5,24.3
2025-07-31 22:40:00+00:00,464.9882353,68.66315789,24.6,350.6782805,0,-16.485,17.2,19.9,24.45789474,24.3
2025-07-31 22:45:00+00:00,465,71.6,24.54858824,352.05,0,-16.61047619,17.39428571,19.80153846,24.32117647,24.29329412
2025-07-31 22:50:00+00:00,465,72.98947368,24.4,352.892,0,-16.692,17.33636364,19.8,24.4,24.271
2025-07-31 22:55:00+00:00,465.1,70.83333333,24.4,353.2729091,0,-16.70444444,17.29020979,19.78294118,24.4,24.2
2025-07-31 23:00:00+00:00,466.1577273,72.81402597,24.4,355.612,0,-16.842,17.1385,19.7,24.4,24.2
2025-07-31 23:05:00+00:00,467,73.28947368,24.4,356.952,0,-16.9,16.94,19.7,24.37359649,24.2
2025-07-31 23:10:00+00:00,466.9454545,71.36956522,24.43059524,358.06,0,-16.9,16.87,19.7,24.27043478,24.2
2025-07-31 23:15:00+00:00,467.1061538,72.55267677,24.47526316,359.0475,0,-16.9,16.87488636,19.63856514,24.23277778,24.2
2025-07-31 23:20:00+00:00,467.1856496,71.00092308,24.39634107,72.49384615,0,-16.9,16.90784615,19.6,24.29846154,24.2
