,R01_06_CO201,R01_06_FCI01,R01_06_MVV01,R01_06_TRU01,HTRK_VEN01_TI01,HTR9_VES01_SI01,HTR9_VES01_TUD01,HTRK_RAD01_TF01
2026-01-04 23:00:00+00:00,409.6,0,0,20,15.3,0,-2.34,58.88946851
2026-01-04 23:05:00+00:00,409.3128205,0,0,20,15.3,0,-2.451272727,56.43636999
2026-01-04 23:10:00+00:00,410.4,0,0,20,15.3,0,-2.648,54.97538083
2026-01-04 23:15:00+00:00,410.6013986,0,0,20,15.3,0,-2.718012626,58.66263027
2026-01-04 23:20:00+00:00,410,0,0,20,15.3,0,-2.778571429,62.31424141
2026-01-04 23:25:00+00:00,410.635,0,0,20,15.3,0,-2.802166667,62.31076923
2026-01-04 23:30:00+00:00,410.4,0,0,20,15.3,0,-2.85,58.73833333
2026-01-04 23:35:00+00:00,410.1204906,0,0,20,15.3,0,-2.922503497,58.57769231
2026-01-04 23:40:00+00:00,409.9618182,0,0,20,15.3,0,-3.046222222,59.00955665
2026-01-04 23:45:00+00:00,409.9772727,0,0,20,15.3,0,-3.1,59.33579545
2026-01-04 23:50:00+00:00,409.9428571,0,0,20,15.3,0,-3.03,59.11714286
2026-01-04 23:55:00+00:00,411.4,0,0,20,15.3,0,-3,58.89263158
2026-01-05 00:00:00+00:00,411.0433333,0,0,20,15.3,0,-3.24,58.9529776
2026-01-05 00:05:00+00:00,409.9178571,0,0,20,15.3,0,-3.3,59.00666667
2026-01-05 00:10:00+00:00,409.975,0,0,20,15.3,0,-3.26,59.48590909
2026-01-05 00:15:00+00:00,410.3733333,0,0,20,15.3,0,-3.280714286,59.96780769
2026-01-05 00:20:00+00:00,411,0,0,20,15.3,0,-3.346,59.55642101
2026-01-05 00:25:00+00:00,410.4613636,0,0,20,15.3,0,-3.206603175,59.31857143
2026-01-05 00:30:00+00:00,411.025,0,0,20,15.3,0,-3.195,59.81125541
2026-01-05 00:35:00+00:00,412,0,0,20,15.3,0,-3.033333333,58.96879121
2026-01-05 00:40:00+00:00,411.3645833,0,0,20,15.3,0,-3.4,59.08877005
2026-01-05 00:45:00+00:00,410.2133333,0,0,20,15.3,0,-3.421666667,59.25939394
2026-01-05 00:50:00+00:00,411,0,0,20,15.3,0,-3.479142857,59.31354637
2026-01-05 00:55:00+00:00,411.07,0,0,20,15.3,0,-3.413463204,59.35619048
2026-01-05 01:00:00+00:00,411.7,0,0,20,15.3,0,-3.504,59.40909091
2026-01-05 01:05:00+00:00,410.9644444,0,0,20,15.3,0,-3.954,59.92272727
2026-01-05 01:10:00+00:00,410.955,0,0,20,15.3,0,-4.2,59.48966667
2026-01-05 01:15:00+00:00,411.66,0,0,20,15.3,0,-4.008722222,59.50235294
2026-01-05 01:20:00+00:00,410,0,0,20,15.3,0,-4.110876923,59.80085714
2026-01-05 01:25:00+00:00,410,0,0,20,15.3,0,-3.841230769,59.69434556
2026-01-05 01:30:00+00:00,410.0357143,0,0,20,15.3,0,-3.399087302,59.30208333
2026-01-05 01:35:00+00:00,411.8444444,0,0,20,15.3,0,-2.98,59.44254545
2026-01-05 01:40:00+00:00,411,0,0,20,15.3,0,-2.392727273,58.8
2026-01-05 01:45:00+00:00,410.0105263,0,0,19.90242857,15.3,0,-2.041212121,58.78447368
2026-01-05 01:50:00+00:00,410.6571429,0,0,19.9,15.3,0,-2.091619048,58.66066897
2026-01-05 01:55:00+00:00,412,0,0,19.9,15.3,0,-2.490476191,58.70139234
2026-01-05 02:00:00+00:00,412.6444444,0,0,19.9,15.3,0,-2.2,58.93659091
2026-01-05 02:05:00+00:00,411,0,0,19.9,15.22,0,-1.486166667,58.9
2026-01-05 02:10:00+00:00,410.9636364,0,0,19.9,15.2,0,-1.091933333,59.44958305
2026-01-05 02:15:00+00:00,412,0,0,19.9,15.2,0,-0.973375758,59.47793103
2026-01-05 02:20:00+00:00,412,0,0,19.9,15.2,0,-0.843153087,58.6198465
2026-01-05 02:25:00+00:00,412,0,0,19.9,15.2,0,-0.805,58.2159931
2026-01-05 02:30:00+00:00,412,0,0,19.9,15.2,0,-0.775,58.071875
2026-01-05 02:35:00+00:00,411.175,0,0,19.9,15.2,0,-1.249555556,58.29170807
2026-01-05 02:40:00+00:00,412.8666667,0,0,19.9,15.2,0,-2.230952381,58.71885134
2026-01-05 02:45:00+00:00,414.1028571,0,0,19.9,15.2,0,-0.973047619,58.65276224
2026-01-05 02:50:00+00:00,413.4071429,0,0,19.9,15.2,0,-0.518,58.51393939
2026-01-05 02:55:00+00:00,413.6826923,0,0,19.9,15.2,0,-0.277353846,58.26066667
2026-01-05 03:00:00+00:00,414.8,0,0,19.9,15.2,0,-0.031111111,58.27931034
2026-01-05 03:05:00+00:00,414.1636364,0,0,19.9,15.2,0,0.331818182,58.12095238
2026-01-05 03:10:00+00:00,412.3166667,0,0,19.9,15.2,0,0,57.77931136
2026-01-05 03:15:00+00:00,412.2409524,0,0,19.9,15.2,0,-0.086060606,57.89948718
2026-01-05 03:20:00+00:00,412,0,0,19.9,15.2,0,-0.181136364,58.18863636
2026-01-05 03:25:00+00:00,412,0,0,19.9,15.2,0,-0.028333333,58.51333333
2026-01-05 03:30:00+00:00,412,0,0,19.9,15.13666667,0,0.234505495,58.22503896
2026-01-05 03:35:00+00:00,412.8,0,0,19.95418421,15.1,0,-0.31414099,57.26090909
2026-01-05 03:40:00+00:00,412.2,0,0,20,15.1,0,-0.220333333,57.44515385
2026-01-05 03:45:00+00:00,412.6502674,0,0,20,15.1,0,0.691111111,57.93566667
