,Ti,Ta,Tm,Q_vent,Q_heat,Q_solar
2026-01-01 00:00:00,7.77,2.42,6.42,-80.35,50,0
2026-01-01 01:00:00,6.43,1.34,5.52,-76.43,50,0
2026-01-01 02:00:00,6.77,1.49,5.63,-79.14,50,0
2026-01-01 03:00:00,7.35,2.26,6.68,-76.43,50,0
2026-01-01 04:00:00,7.73,2.47,6.94,-78.86,50,0
2026-01-01 05:00:00,6.49,1.68,5.4,-72.07,50,26.03
2026-01-01 06:00:00,8.16,3.48,7.03,-70.35,50,17.91
2026-01-01 07:00:00,9.09,3.89,7.85,-78.07,50,27.5
2026-01-01 08:00:00,9.71,4.95,8.62,-285.54,1060,267.66
2026-01-01 09:00:00,11.03,6.24,9.98,-287.59,1060,382.46
2026-01-01 10:00:00,11.94,7.07,10.86,-291.72,1060,611.07
2026-01-01 11:00:00,12.41,7.39,11.36,-297.4,1060,744.35
2026-01-01 12:00:00,13.25,8.39,12.38,-304.94,1060,789.56
2026-01-01 13:00:00,13.26,8.14,12.23,-303.34,1060,807.73
2026-01-01 14:00:00,13.06,7.47,12.09,-292.47,1060,709.16
2026-01-01 15:00:00,12.66,7.14,11.48,-287.53,1060,589.95
2026-01-01 16:00:00,11.56,6.17,10.29,-278.3,1060,406.53
2026-01-01 17:00:00,11.26,5.93,10.39,-276.51,1060,259.39
2026-01-01 18:00:00,9.49,4.41,8.36,-122.7,50,62.27
2026-01-01 19:00:00,8.98,4.19,7.83,-110.92,50,16.18
2026-01-01 20:00:00,8,3.23,6.94,-98.79,50,0
2026-01-01 21:00:00,7.66,2.79,6.53,-96.79,50,0
2026-01-01 22:00:00,7.7,2.97,6.93,-96.74,50,0
2026-01-01 23:00:00,7.89,3.23,6.94,-95.05,50,0
2026-01-02 00:00:00,6.6,1.94,5.7,-73.31,50,0
2026-01-02 01:00:00,6.13,1.56,5.24,-70.53,50,0
2026-01-02 02:00:00,6.81,2.27,5.85,-76.54,50,0
2026-01-02 03:00:00,7.86,3.15,6.85,-82.08,50,0
2026-01-02 04:00:00,8.2,3.23,7.12,-82.1,50,0
2026-01-02 05:00:00,7.14,2.23,6.09,-75.41,50,13.15
2026-01-02 06:00:00,8.27,3.48,7.13,-73.47,50,29.27
2026-01-02 07:00:00,9.12,3.92,7.92,-79.01,50,29.97
2026-01-02 08:00:00,9.85,4.77,8.73,-283.48,1060,276.82
2026-01-02 09:00:00,11.01,6.17,9.92,-286.65,1060,398.59
2026-01-02 10:00:00,11.99,7.05,10.88,-292.3,1060,615.82
2026-01-02 11:00:00,12.48,7.45,11.39,-298.44,1060,749.64
2026-01-02 12:00:00,13.24,8.35,12.35,-304.58,1060,792.9
