,R01_06_CO201,R01_06_FCI01,R01_06_MVV01,R01_06_TRU01,HTR9_VES01_SI01,HTR9_VES01_TUD01,HTR9_VEN02_Status,HTRK_RAD01_TR02
2025-08-31 22:00:00+00:00,418,115.7836364,0,26.2,0,18.45061111,1,26.1
2025-08-31 22:05:00+00:00,419.09375,241.4230769,0,26.19375,0,19.6675,1,26.1
2025-08-31 22:10:00+00:00,425,252.8172249,0,26.2861244,0,19.975,1,26.1
2025-08-31 22:15:00+00:00,430.0333333,247.952381,0,26.09428571,0,20.24666667,1,26.1
2025-08-31 22:20:00+00:00,431.0722527,248.2674812,0,26.0279133,0,20.2918544,1,26.1
2025-08-31 22:25:00+00:00,431.1833333,251.7545455,0,25.99454545,0,20.23212121,1,26.1
2025-08-31 22:30:00+00:00,432.8,253.5285714,0,25.91185185,0,20.18466349,1,26.1
2025-08-31 22:35:00+00:00,434,248.4464286,0,25.9,0,20,1,26.1
2025-08-31 22:40:00+00:00,434.0533333,250.6629032,0,25.83232323,0,20.10571429,1,26.1
2025-08-31 22:45:00+00:00,434,252,0,25.8,0,20.00553333,1,26.1
2025-08-31 22:50:00+00:00,434.9,253.9217949,0,25.70285714,0,20.13555556,1,26.1
2025-08-31 22:55:00+00:00,433.3384615,252.19,0,25.7,0,20.28,1,26.1
2025-08-31 23:00:00+00:00,437.7142857,246.8889952,0,25.699,0,20.1575,1,26.1
2025-08-31 23:05:00+00:00,436.4,248.1957672,0,25.61310345,0,20.364,1,26.1
2025-08-31 23:10:00+00:00,435,251.0231092,0,25.65901478,0,20.405,1,26.1
2025-08-31 23:15:00+00:00,435.8583333,252.88367,0,25.54703704,0,20.30907937,1,26.1
2025-08-31 23:20:00+00:00,435.1714286,254.0456073,0,25.5,0,20.18571429,1,26.1
2025-08-31 23:25:00+00:00,435.8,247.2363636,0,25.5,0,20.12287179,1,26.1
2025-08-31 23:30:00+00:00,436.0472222,250.0435152,0,25.5,0,20.1096,1,26.1
2025-08-31 23:35:00+00:00,436.6181818,250.38,0,25.40322222,0,20.19,1,26.1
2025-08-31 23:40:00+00:00,434.6,248.192,0,25.4,0,20.51975,1,26.1
2025-08-31 23:45:00+00:00,435.0914683,250.21829,0,25.48942638,0,20.535625,1,26.1
2025-08-31 23:50:00+00:00,434.38,252.6,0,25.36608696,0,20.51238095,1,26.1
2025-08-31 23:55:00+00:00,435.0159091,253.0664596,0,25.3,0,20.5,1,26.1
2025-09-01 00:00:00+00:00,433.68,253.3349282,0,25.36727273,0,20.26,1,26.1
2025-09-01 00:05:00+00:00,433,251.1454545,0,25.4,0,20.34040385,1,26.1
2025-09-01 00:10:00+00:00,432.5022727,251.32,0,25.23111111,0,20.1396,1,26.1
2025-09-01 00:15:00+00:00,433.2818182,251.6923077,0,25.2,0,20.24,1,26.1
2025-09-01 00:20:00+00:00,433.8,253.05,0,25.27592593,0,20.14888889,1,26.1
2025-09-01 00:25:00+00:00,434.5466667,251.7735338,0,25.19092611,0,20.43571429,1,26.1
2025-09-01 00:30:00+00:00,435.2308275,252.0993806,0,25.12642309,0,20.352,1,26.1
2025-09-01 00:35:00+00:00,434.9461538,250.9375,0,25.04929293,0,20.26366667,1,26.1
2025-09-01 00:40:00+00:00,435.55,251.4757576,0,25.01,0,20.70955556,1,26.1
2025-09-01 00:45:00+00:00,435.7414585,250.7776224,0,25,0,20.77777778,1,26.1
2025-09-01 00:50:00+00:00,434.625,254.0666667,0,25.00615385,0,20.29365079,1,26.1
2025-09-01 00:55:00+00:00,434.0769231,255.1035263,0,25.01796569,0,20.32727273,1,26.1
2025-09-01 01:00:00+00:00,434.2641026,251.6060606,0,25.08844444,0,20.47490909,1,26.1
2025-09-01 01:05:00+00:00,433.6507937,253.5671795,0,25.05814516,0,20.268,1,26.1
2025-09-01 01:10:00+00:00,432.7480519,251.2791398,0,25.02730838,0,19.877,1,26.1
2025-09-01 01:15:00+00:00,432.7,249.8682038,0,25.01272727,0,19.70666667,1,26.1
2025-09-01 01:20:00+00:00,432,249.5063973,0,24.91434343,0,19.81818182,1,26.1
2025-09-01 01:25:00+00:00,431.7777778,252.625,0,25,0,20.25,1,26.1
2025-09-01 01:30:00+00:00,431.8888889,253.3022222,0,25,0,19.73555556,1,26.1
2025-09-01 01:35:00+00:00,432.569697,251.3610784,0,24.93078431,0,19.4,1,26.1
2025-09-01 01:40:00+00:00,432.3123321,251.3048148,0,24.80857143,0,19.48,1,26.1
2025-09-01 01:45:00+00:00,433,252.5509091,0,24.82857143,0,19.46590476,1,26.1
2025-09-01 01:50:00+00:00,432.5778571,254.6872286,0,24.9,0,19.30691429,1,26.1
2025-09-01 01:55:00+00:00,432.1416667,254.4546287,0,24.9,0,19.11256536,1,26.1
2025-09-01 02:00:00+00:00,433.4222222,252.65,0,24.868,0,18.5,1,26.1
2025-09-01 02:05:00+00:00,432.0682692,251.938,0,24.7845,0,18.30012987,1,26.07466667
2025-09-01 02:10:00+00:00,433.2050505,251.2224138,0,24.71,0,18.019,1,26.00689655
2025-09-01 02:15:00+00:00,433.2333333,251.3971751,0,24.7,0,18.224,1,26
2025-09-01 02:20:00+00:00,432.01,254.8415459,0,24.72092105,0,18.731,1,26
2025-09-01 02:25:00+00:00,433,255.1111111,0,24.8,0,18.63111111,1,26
2025-09-01 02:30:00+00:00,433.0277778,255.9137931,0,24.8,0,19.1025,1,26
2025-09-01 02:35:00+00:00,432.9004177,254.6816017,0,24.78,0,19.09882353,1,26
2025-09-01 02:40:00+00:00,432.6126623,251.3598168,0,24.62217391,0,19.02935714,1,26
2025-09-01 02:45:00+00:00,432.12,252.388484,0,24.57714286,0,19.42272727,1,26
2025-09-01 02:50:00+00:00,432.6,252,0,24.5,0,19.54666667,1,26
