,R01_06_CO201,R01_06_FCI01,R01_06_MVV01,R01_06_TRU01,HTR9_VES01_SI01,HTR9_VES01_TUD01,HTR9_VEN02_Status,HTRK_RAD01_TR02
2025-04-30 22:00:00+00:00,423.7321429,0.0,0.0,24.6,0.0,12.34023569,1,28.7
2025-04-30 22:05:00+00:00,425.375,0.0,0.0,24.58888889,0.0,12.3,1,28.7
2025-04-30 22:10:00+00:00,425.1805556,0.0,0.0,24.5,0.0,12.3,1,28.7
2025-04-30 22:15:00+00:00,425.6150794,0.0,0.0,24.5,0.0,12.31666667,1,28.7
2025-04-30 22:20:00+00:00,424.4,0.0,0.0,24.5,0.0,12.455,1,28.7
2025-04-30 22:25:00+00:00,424.7666667,0.0,0.0,24.5,0.0,12.42251948,1,28.7
2025-04-30 22:30:00+00:00,423.1428904,0.0,0.0,24.5,0.0,12.313125,1,28.7
2025-04-30 22:35:00+00:00,422.4527778,0.0,0.0,24.5,0.0,12.19645714,1,28.75314286
2025-04-30 22:40:00+00:00,423.7166667,0.0,0.0,24.5,0.0,12.0,1,28.8
2025-04-30 22:45:00+00:00,424.1428571,0.0,0.0,24.5,0.0,12.18095238,1,28.8
2025-04-30 22:50:00+00:00,423.1401504,0.0,0.0,24.5,0.0,12.00372727,1,28.8
2025-04-30 22:55:00+00:00,422.96,0.0,0.0,24.5,0.0,11.7994,1,28.73066667
2025-04-30 23:00:00+00:00,423.0,0.0,0.0,24.5,0.0,11.7,1,28.7
2025-04-30 23:05:00+00:00,423.0,0.0,0.0,24.5,0.0,11.69852121,1,28.6225
2025-04-30 23:10:00+00:00,421.2415385,0.0,0.0,24.5,0.0,11.65072727,1,28.6
2025-04-30 23:15:00+00:00,422.3589744,0.0,0.0,24.5,0.0,11.6,1,28.6
2025-04-30 23:20:00+00:00,423.2307692,0.0,0.0,24.5,0.0,11.54,1,28.6
2025-04-30 23:25:00+00:00,423.5714286,0.0,0.0,24.5,0.0,11.44830769,1,28.6
2025-04-30 23:30:00+00:00,424.0,0.0,0.0,24.5,0.0,11.38333333,1,28.6
2025-04-30 23:35:00+00:00,422.7047619,0.0,0.0,24.51666667,0.0,11.40257143,1,28.6
2025-04-30 23:40:00+00:00,423.1541311,0.0,0.0,24.56643636,0.0,11.4927,1,28.6952381
2025-04-30 23:45:00+00:00,423.2337662,0.0,0.0,24.45333333,0.0,11.48225108,1,28.7
2025-04-30 23:50:00+00:00,422.1666667,0.0,0.0,24.4,0.0,11.4,1,28.7
2025-04-30 23:55:00+00:00,422.6263736,0.0,0.0,24.4,0.0,11.34083333,1,28.7
2025-05-01 00:00:00+00:00,423.8,0.0,0.0,24.4,0.0,11.21666667,1,28.7
2025-05-01 00:05:00+00:00,422.6011905,0.0,0.0,24.4,0.0,11.09775,1,28.7
2025-05-01 00:10:00+00:00,422.5,0.0,0.0,24.4,0.0,11.0955,1,28.7
2025-05-01 00:15:00+00:00,423.2458333,0.0,0.0,24.4,0.0,11.08631036,1,28.7
2025-05-01 00:20:00+00:00,424.3333333,0.0,0.0,24.4,0.0,11.1016,1,28.7
2025-05-01 00:25:00+00:00,424.3333333,0.0,0.0,24.4,0.0,11.17257143,1,28.7
2025-05-01 00:30:00+00:00,424.4,0.0,0.0,24.4,0.0,11.26666667,1,28.7
2025-05-01 00:35:00+00:00,423.3555556,0.0,0.0,24.4,0.0,11.27585714,1,28.7
2025-05-01 00:40:00+00:00,424.5625,0.0,0.0,24.4412963,0.0,11.298,1,28.7
2025-05-01 00:45:00+00:00,423.3680556,0.0,0.0,24.43666667,0.0,11.41828704,1,28.8
2025-05-01 00:50:00+00:00,424.1148851,0.0,0.0,24.4525493,0.0,11.47816162,1,28.8
2025-05-01 00:55:00+00:00,425.7466667,0.0,0.0,24.43098077,0.0,11.492,1,28.8
2025-05-01 01:00:00+00:00,423.8,0.0,0.0,24.3,0.0,11.5,1,28.8
2025-05-01 01:05:00+00:00,423.1666667,0.0,0.0,24.3,0.0,11.43714286,1,28.8
2025-05-01 01:10:00+00:00,423.28125,0.0,0.0,24.3,0.0,11.4,1,28.8
2025-05-01 01:15:00+00:00,423.8142857,0.0,0.0,24.3,0.0,11.4,1,28.8
2025-05-01 01:20:00+00:00,423.1666667,0.0,0.0,24.3,0.0,11.334,1,28.8
2025-05-01 01:25:00+00:00,423.2409091,0.0,0.0,24.3,0.0,11.29397436,1,28.8
2025-05-01 01:30:00+00:00,423.2162088,0.0,0.0,24.3,0.0,11.21296296,1,28.8
2025-05-01 01:35:00+00:00,423.84,0.0,0.0,24.3,0.0,11.2,1,28.8
2025-05-01 01:40:00+00:00,423.15,0.0,0.0,24.31854493,0.0,11.19983333,1,28.8
2025-05-01 01:45:00+00:00,423.8943223,0.0,0.0,24.32543429,0.0,11.19902686,1,28.8
2025-05-01 01:50:00+00:00,424.010101,0.0,0.0,24.2,0.0,11.314,1,28.8
2025-05-01 01:55:00+00:00,424.4405594,0.0,0.0,24.2,0.0,11.318,1,28.8
2025-05-01 02:00:00+00:00,424.1648148,0.0,0.0,24.2,0.0,11.15952381,1,28.8
2025-05-01 02:05:00+00:00,424.9777778,0.0,0.0,24.2,0.0,10.98611111,1,28.8
2025-05-01 02:10:00+00:00,425.0357143,0.0,0.0,24.2,0.0,10.93169192,1,28.81681818
2025-05-01 02:15:00+00:00,424.5460317,0.0,0.0,24.2,0.0,10.80174501,1,28.89343434
2025-05-01 02:20:00+00:00,424.3888889,0.0,0.0,24.2,0.0,10.78923077,1,28.98153846
2025-05-01 02:25:00+00:00,424.5687831,0.0,0.0,24.2,0.0,10.7,1,29.1
2025-05-01 02:30:00+00:00,422.7703704,0.0,0.0,24.2,0.0,10.84259259,1,29.1
2025-05-01 02:35:00+00:00,423.8860029,0.0,0.0,24.2,0.0,10.97222222,1,29.2
2025-05-01 02:40:00+00:00,424.2653846,0.0,0.0,24.2,0.0,11.1822,1,29.2
2025-05-01 02:45:00+00:00,425.0,0.0,0.0,24.2,0.0,11.24941601,1,29.2
2025-05-01 02:50:00+00:00,424.9871795,0.0,0.0,24.19871795,0.0,11.3,1,29.2
2025-05-01 02:55:00+00:00,424.0666667,0.0,0.0,24.10230769,0.0,11.2612381,1,29.2
2025-05-01 03:00:00+00:00,424.224359,0.0,0.0,24.19443223,0.06,11.11380952,1,29.2
2025-05-01 03:05:00+00:00,421.9166667,44.57291667,0.0,24.1,0.173277778,11.1,1,29.17
2025-05-01 03:10:00+00:00,423.9761905,46.95454545,0.0,24.1,0.356818182,11.025,1,29.1
2025-05-01 03:15:00+00:00,424.76,51.59662698,0.0,24.1,0.5935,11.06666667,1,29.1
2025-05-01 03:20:00+00:00,425.6553449,52.73725626,0.0,24.1,0.997777076,11.1,1,29.1
