,R01_06_CO201,R01_06_FCI01,R01_06_MVV01,R01_06_TRU01,HTR9_VES01_SI01,HTR9_VES01_TUD01,HTRK_RAD03_TF01,HTR9_VEN01_TI01
2025-04-30 22:00:00+00:00,423.7321429,0.0,0.0,24.6,0.0,12.34023569,39.94933333,23.6
2025-04-30 22:05:00+00:00,425.375,0.0,0.0,24.58888889,0.0,12.3,39.97923077,23.6
2025-04-30 22:10:00+00:00,425.1805556,0.0,0.0,24.5,0.0,12.3,40.1842987,23.435
2025-04-30 22:15:00+00:00,425.6150794,0.0,0.0,24.5,0.0,12.31666667,38.27411189,23.4
2025-04-30 22:20:00+00:00,424.4,0.0,0.0,24.5,0.0,12.455,40.22098765,23.4
2025-04-30 22:25:00+00:00,424.7666667,0.0,0.0,24.5,0.0,12.42251948,40.00386364,23.4
2025-04-30 22:30:00+00:00,423.1428904,0.0,0.0,24.5,0.0,12.313125,40.65709402,23.4
2025-04-30 22:35:00+00:00,422.4527778,0.0,0.0,24.5,0.0,12.19645714,40.5,23.4
2025-04-30 22:40:00+00:00,423.7166667,0.0,0.0,24.5,0.0,12.0,40.45166667,23.33666667
2025-04-30 22:45:00+00:00,424.1428571,0.0,0.0,24.5,0.0,12.18095238,40.5585,23.3
2025-04-30 22:50:00+00:00,423.1401504,0.0,0.0,24.5,0.0,12.00372727,38.97716117,23.3
2025-04-30 22:55:00+00:00,422.96,0.0,0.0,24.5,0.0,11.7994,41.20797619,23.3
2025-04-30 23:00:00+00:00,423.0,0.0,0.0,24.5,0.0,11.7,40.12239899,23.3
2025-04-30 23:05:00+00:00,423.0,0.0,0.0,24.5,0.0,11.69852121,39.0,23.3
2025-04-30 23:10:00+00:00,421.2415385,0.0,0.0,24.5,0.0,11.65072727,39.88691667,23.3
2025-04-30 23:15:00+00:00,422.3589744,0.0,0.0,24.5,0.0,11.6,39.29891975,23.3
2025-04-30 23:20:00+00:00,423.2307692,0.0,0.0,24.5,0.0,11.54,39.60076923,23.3
2025-04-30 23:25:00+00:00,423.5714286,0.0,0.0,24.5,0.0,11.44830769,40.34866667,23.3
2025-04-30 23:30:00+00:00,424.0,0.0,0.0,24.5,0.0,11.38333333,40.04350649,23.3
2025-04-30 23:35:00+00:00,422.7047619,0.0,0.0,24.51666667,0.0,11.40257143,39.45055556,23.3
2025-04-30 23:40:00+00:00,423.1541311,0.0,0.0,24.56643636,0.0,11.4927,42.07595849,23.3
2025-04-30 23:45:00+00:00,423.2337662,0.0,0.0,24.45333333,0.0,11.48225108,39.61455628,23.3
2025-04-30 23:50:00+00:00,422.1666667,0.0,0.0,24.4,0.0,11.4,42.69431313,23.3
2025-04-30 23:55:00+00:00,422.6263736,0.0,0.0,24.4,0.0,11.34083333,39.80384615,23.3
2025-05-01 00:00:00+00:00,423.8,0.0,0.0,24.4,0.0,11.21666667,42.83234066,23.3
2025-05-01 00:05:00+00:00,422.6011905,0.0,0.0,24.4,0.0,11.09775,39.01732143,23.3
2025-05-01 00:10:00+00:00,422.5,0.0,0.0,24.4,0.0,11.0955,41.21676768,23.3
2025-05-01 00:15:00+00:00,423.2458333,0.0,0.0,24.4,0.0,11.08631036,40.89958333,23.3
2025-05-01 00:20:00+00:00,424.3333333,0.0,0.0,24.4,0.0,11.1016,39.95309324,23.3
2025-05-01 00:25:00+00:00,424.3333333,0.0,0.0,24.4,0.0,11.17257143,41.76666667,23.3
