,R01_07_CO201,R01_07_FCI01,R01_07_TRU01,HTR9_VES01_AZ01,HTR9_VES01_SI01,HTR9_VES01_SV01,HTR9_VES01_TUD01,HTRK_VEN01_TI01,R01_06_TRU01,R01_08_TRU01
2025-07-01 00:00:00+00:00,430.9013921,0.0,25.5,11.68524135,0.0,-11.15733333,16.01204701,18.12777778,25.6,25.1
2025-07-01 00:15:00+00:00,430.0751813,0.0,25.5,15.02480486,0.0,-10.67738095,15.90918367,17.97142857,25.50679825,25.05663265
2025-07-01 00:30:00+00:00,430.7776614,0.0,25.41937642,18.46217124,0.0,-10.04078307,15.81488889,17.80729167,25.5,25.0
2025-07-01 00:45:00+00:00,430.8049383,0.0,25.4,22.03160173,0.0,-9.306861472,15.7220101,17.66,25.51566667,24.98415584
2025-07-01 01:00:00+00:00,431.0,0.0,25.32063492,25.31655329,0.0,-8.455555556,15.4972449,17.46142857,25.46816893,24.9
2025-07-01 01:15:00+00:00,430.8848133,0.0,25.3,28.47666522,0.0,-7.564025031,15.61651587,17.31733333,25.4,24.9
2025-07-01 01:30:00+00:00,430.5629514,0.0,25.25174603,31.59490283,0.0,-6.526593407,15.73274074,17.17488889,25.4215873,24.85333333
2025-07-01 01:45:00+00:00,431.0973595,0.0,25.2,35.25789202,0.064571429,-5.19165873,16.12831554,16.9974359,25.3,24.8
2025-07-01 02:00:00+00:00,431.0980538,0.0,25.2,38.37304422,0.379881637,-3.953146259,15.77863095,16.85097222,25.3,24.75714286
2025-07-01 02:15:00+00:00,432.0987399,0.0,25.16326797,41.57081349,1.419613707,-2.581633598,15.40319177,16.68666667,25.31491384,24.7
2025-07-01 02:30:00+00:00,436.2954906,103.8140833,25.06121839,44.8037328,4.298245905,-1.064259259,14.11899471,15.316,25.15368216,24.64494949
2025-07-01 02:45:00+00:00,452.2978227,264.9489272,24.8341993,47.73694853,12.4287823,0.35474988,13.87030026,14.85938889,25.01281334,24.27285714
2025-07-01 03:00:00+00:00,451.4468931,90.07175134,24.66365459,50.76129535,27.61800175,1.927239229,14.50572975,15.4077381,24.82606061,24.23636364
2025-07-01 03:15:00+00:00,447.8591631,49.38585859,24.7,53.92267989,48.42134812,3.686961335,15.0034976,17.12666667,24.86878788,24.3
2025-07-01 03:30:00+00:00,445.8968379,55.88982579,24.7,56.8702906,72.32255604,5.441626374,15.40656508,16.83333333,24.89757576,24.3
2025-07-01 03:45:00+00:00,445.3095238,56.34844552,24.6719716,59.84482143,98.12517139,7.285714286,15.66930556,17.00714286,24.8,24.3
2025-07-01 04:00:00+00:00,445.3536982,92.04140038,24.6,62.79418687,124.0371209,9.173878151,16.13435556,17.02,24.8,24.27177441
2025-07-01 04:15:00+00:00,446.8557998,222.8133586,24.57766667,65.79250072,150.7203071,11.13945375,16.81470202,17.2,24.67638462,24.26190476
2025-07-01 04:30:00+00:00,450.5936485,266.6487582,24.4375,68.75728499,183.4461937,13.15059524,16.74885781,17.20666667,24.57087719,24.24358974
2025-07-01 04:45:00+00:00,454.2083333,271.2710084,24.28892432,71.65179465,206.729729,15.16774845,16.86017857,17.01538462,24.61396104,24.06830201
2025-07-01 05:00:00+00:00,455.2844791,268.3597847,24.17644444,74.37985185,234.6914182,17.09016667,16.89010909,17.055,24.53164967,24.01222222
2025-07-01 05:15:00+00:00,456.3651576,271.2505655,24.1,77.40076263,267.1314861,19.21450337,17.4763433,17.26311111,24.51604717,23.87878788
2025-07-01 05:30:00+00:00,460.8562807,273.3745066,24.1,80.24475469,299.4032838,21.27191919,17.98530464,17.24555556,24.54787879,23.8047619
2025-07-01 05:45:00+00:00,472.7130952,269.703036,24.01428571,83.51232804,331.4614992,23.58991784,18.422914,17.26,24.36754614,23.70769231
2025-07-01 06:00:00+00:00,470.1648904,270.2242654,24.0,85.84197619,357.2558176,25.23338889,18.8346,17.41355556,24.37481081,23.6760211
2025-07-01 06:15:00+00:00,472.4218254,264.7644444,23.94966667,89.49828571,396.7796295,27.80460317,19.13273016,17.56666667,24.28585185,23.6
2025-07-01 06:30:00+00:00,471.0241491,270.3096773,23.9,92.2659906,425.2667475,29.72845547,19.1280102,17.7,24.16048502,23.6
2025-07-01 06:45:00+00:00,472.1424625,270.5583872,23.88606061,95.68503415,457.1363953,32.04419312,19.69606138,17.6,24.1,23.58666667
2025-07-01 07:00:00+00:00,480.6559064,265.3711997,23.8,99.0752381,487.9789115,34.25714286,20.0227381,17.24,24.1,23.54283333
2025-07-01 07:15:00+00:00,583.9774738,269.9041246,23.89222847,102.4310794,518.5303297,36.35444444,20.29767196,17.02666667,24.1,23.54182492
2025-07-01 07:30:00+00:00,640.4958122,266.9583049,24.1319378,105.5242943,545.8837299,38.18035714,20.80404762,17.2042094,24.21785714,23.53857143
2025-07-01 07:45:00+00:00,627.7412549,268.4167686,24.1467619,109.2505981,570.1493434,40.34567989,20.90123386,17.37338217,24.60662269,23.6
2025-07-01 08:00:00+00:00,614.4806368,268.6868457,24.16504291,113.3122619,597.6162806,42.48444444,20.9704127,17.18333333,24.60426901,23.6405291
2025-07-01 08:15:00+00:00,601.3701525,268.2737037,24.2,117.424047,622.3788713,44.51907407,21.50753439,17.17333333,24.7,23.81333333
