,R01_07_CO201,R01_07_FCI01,R01_07_TRU01,HTR9_VES01_AZ01,HTR9_VES01_SI01,HTR9_VES01_SV01,HTR9_VES01_TUD01,HTRK_VEN01_TI01,R01_06_TRU01,R01_08_TRU01
2025-04-01 00:00:00+00:00,424.0,0.0,22.5,15.5,0.0,-30.0,4.1,12.9,22.6,22.1
2025-04-01 00:15:00+00:00,424.0,0.0,22.5,20.0,0.0,-29.0,4.2,15.0,22.6,22.0
2025-04-01 00:30:00+00:00,423.0,0.0,22.4,24.0,0.0,-28.0,4.0,14.8,22.6,22.0
2025-04-01 00:45:00+00:00,424.0,0.0,22.4,28.0,0.0,-28.0,4.0,13.0,22.7,22.0
2025-04-01 01:00:00+00:00,424.0,0.0,22.4,32.0,0.0,-26.0,4.0,13.7,22.6,22.0
2025-04-01 01:15:00+00:00,424.0,0.0,22.4,35.0,0.0,-25.0,3.8,14.6,22.5,22.0
2025-04-01 01:30:00+00:00,424.0,0.0,22.3,39.0,0.0,-24.0,3.7,13.3,22.5,21.9
2025-04-01 01:45:00+00:00,423.0,0.0,22.3,43.0,0.0,-23.0,3.5,13.0,22.5,21.9
2025-04-01 02:00:00+00:00,424.0,0.0,22.3,47.0,0.0,-21.0,3.5,14.6,22.6,21.9
2025-04-01 02:15:00+00:00,423.0,0.0,22.3,50.0,0.0,-20.0,3.5,14.1,22.6,21.9
2025-04-01 02:30:00+00:00,424.0,0.0,22.3,53.0,0.0,-18.0,3.6,13.0,22.6,21.8
2025-04-01 02:45:00+00:00,423.0,0.0,22.2,57.0,0.0,-16.0,3.6,13.9,22.4,21.8
2025-04-01 03:00:00+00:00,424.0,50.6,22.2,61.0,0.0,-14.0,3.5,16.7,22.4,21.8
2025-04-01 03:15:00+00:00,423.0,51.8,22.2,64.0,0.0,-12.0,3.5,20.9,22.5,21.8
2025-04-01 03:30:00+00:00,423.0,51.91666667,22.2,67.0,0.0,-11.0,3.5,18.8,22.5,21.8
2025-04-01 03:45:00+00:00,424.0,51.85714286,22.2,70.0,0.0,-9.0,3.5,17.4,22.5,21.8
2025-04-01 04:00:00+00:00,425.0,51.0,22.2,73.0,0.0,-7.0,3.2,18.4,22.5,21.9
2025-04-01 04:15:00+00:00,426.0,50.6,22.2,76.0,0.4,-4.0,3.2,18.0,22.5,21.9
2025-04-01 04:30:00+00:00,427.0,52.75,22.2,79.0,2.4,-2.0,3.1,17.9,22.5,21.9
2025-04-01 04:45:00+00:00,427.0,52.15384615,22.3,83.0,8.48,0.0,3.6,17.8,22.5,21.9
2025-04-01 05:00:00+00:00,430.0,51.53333333,22.3,86.0,24.67272727,2.0,4.1,18.3,22.5,21.9
2025-04-01 05:15:00+00:00,441.5,52.07142857,22.2,89.0,51.70666667,4.0,4.3,17.9,22.5,21.9
2025-04-01 05:30:00+00:00,449.0,52.0,22.2,92.0,82.79285714,7.0,4.8,18.0,22.5,22.0
2025-04-01 05:45:00+00:00,448.0,51.4,22.2,95.0,116.2866667,10.0,4.7,18.0,22.5,22.0
2025-04-01 06:00:00+00:00,449.0,51.92857143,22.2,98.0,147.7153846,12.0,5.0,17.7,22.5,21.9
2025-04-01 06:15:00+00:00,457.5,52.07142857,22.3,101.0,179.3,14.0,5.5,18.0,22.5,22.1
2025-04-01 06:30:00+00:00,468.4285714,52.0,22.4,105.0,213.2933333,16.0,6.1,17.8,22.6,22.1
2025-04-01 06:45:00+00:00,479.0,51.0,22.6,108.0,247.3333333,18.0,6.9,17.7,22.6,22.1
2025-04-01 07:00:00+00:00,502.4545455,50.5,22.5,111.0,277.8785714,20.0,7.5,17.8,22.6,22.4
2025-04-01 07:15:00+00:00,523.8888889,49.66666667,22.6,114.0,308.95,22.0,7.6,17.5,22.7,22.5
2025-04-01 07:30:00+00:00,621.0909091,51.4,22.8,118.0,337.1692308,24.0,8.4,17.5,23.2,22.6
2025-04-01 07:45:00+00:00,733.6428571,82.53333333,23.1,122.5,364.0071429,26.0,9.1,17.5,23.4,22.5
2025-04-01 08:00:00+00:00,752.5,104.7333333,23.2,126.0,391.7461538,28.0,8.8,17.2,23.1,23.0
2025-04-01 08:15:00+00:00,731.9285714,121.0666667,23.3,129.0,416.8833333,30.0,9.6,17.0,23.4,23.2
2025-04-01 08:30:00+00:00,658.8181818,139.4,23.2,133.0,434.1636364,31.0,11.1,17.1,23.6,23.1
2025-04-01 08:45:00+00:00,561.5555556,148.0,23.0,137.0,400.4076923,33.0,11.2,17.0,23.1,23.3
2025-04-01 09:00:00+00:00,534.4444444,146.6,23.0,141.0,435.5307692,34.0,11.6,17.0,23.2,22.9
2025-04-01 09:15:00+00:00,519.5,146.4666667,22.9,145.0,499.8166667,35.0,11.4,16.8,23.4,22.7
2025-04-01 09:30:00+00:00,516.0,139.5333333,22.9,150.0,519.1555556,36.0,12.3,16.8,23.4,22.6
2025-04-01 09:45:00+00:00,517.2,131.6,22.9,154.0,535.38,37.0,13.1,16.7,23.5,22.6
2025-04-01 10:00:00+00:00,534.3,123.2666667,22.9,158.0,550.3875,38.0,13.4,16.8,23.3,22.6
2025-04-01 10:15:00+00:00,600.4166667,117.8571429,23.0,163.0,561.7,39.0,13.9,16.8,23.1,22.7
2025-04-01 10:30:00+00:00,633.4545455,122.8666667,23.1,169.0,569.0,39.0,13.4,16.8,23.2,22.6
2025-04-01 10:45:00+00:00,620.9285714,131.3571429,23.2,173.0,576.9875,40.0,14.2,16.9,23.2,22.6
2025-04-01 11:00:00+00:00,629.6153846,148.8,23.2,177.0,578.0777778,40.0,13.7,16.9,23.3,22.8
2025-04-01 11:15:00+00:00,644.7272727,159.5333333,23.3,182.0,579.88,40.0,13.8,17.1,23.4,23.4
2025-04-01 11:30:00+00:00,600.6428571,181.4,23.3,187.0,579.4,39.0,14.4,17.2,23.4,23.4
2025-04-01 11:45:00+00:00,622.7,204.8,23.3,192.0,573.6714286,39.0,13.9,17.1,23.2,23.2
