Unnamed: 0,R01_07_CO201,R01_07_FCI01,R01_07_TRU01,HTR9_VES01_AZ01,HTR9_VES01_SI01,HTR9_VES01_SV01,HTR9_VES01_TUD01,HTRK_VEN01_TI01,R01_06_TRU01,R01_08_TRU01
2025-04-01 00:00:00+00:00,423.75,0.0,22.45,21.875,0.0,-28.75,4.075,13.925,22.625,22.025
2025-04-01 01:00:00+00:00,423.75,0.0,22.35,37.25,0.0,-24.5,3.75,13.65,22.525,21.95
2025-04-01 02:00:00+00:00,423.5,0.0,22.275,51.75,0.0,-18.75,3.55,13.9,22.55,21.85
2025-04-01 03:00:00+00:00,423.5,51.5434523825,22.2,65.5,0.0,-11.5,3.5,18.45,22.475,21.8
2025-04-01 04:00:00+00:00,426.25,51.625961537500004,22.225,77.75,2.8200000000000003,-3.25,3.2750000000000004,18.025,22.5,21.9
2025-04-01 05:00:00+00:00,442.125,51.751190475,22.225,90.5,68.864729445,5.75,4.475,18.05,22.5,21.95
2025-04-01 06:00:00+00:00,463.48214285,51.75,22.375,103.0,196.9105128,15.0,5.875,17.8,22.55,22.05
2025-04-01 07:00:00+00:00,595.2693001499999,58.525,22.75,116.375,322.001236275,23.0,8.15,17.575,22.975,22.5
2025-04-01 08:00:00+00:00,676.2005772,128.3,23.175,131.25,410.80020394999997,30.5,10.175,17.075,23.3,23.15
2025-04-01 09:00:00+00:00,521.7861111,141.05,22.924999999999997,147.5,497.47074787500003,35.5,12.1,16.825,23.375,22.7
2025-04-01 10:00:00+00:00,597.2749458999999,123.8369048,23.05,165.75,564.51875,39.0,13.725,16.825,23.2,22.625
2025-04-01 11:00:00+00:00,624.4213786,173.63333332500002,23.275,184.5,577.7573016,39.5,13.95,17.075,23.325,23.2
2025-04-01 12:00:00+00:00,519.1576923,249.43809522499998,23.15,204.0,548.756597225,37.25,15.625,17.075,23.225,23.1
2025-04-01 13:00:00+00:00,463.694230775,262.989285725,23.0,221.0,487.74081440000003,32.25,14.1,16.825,23.025,23.125
2025-04-01 14:00:00+00:00,532.17261905,55.505448720000004,23.8,236.625,391.946726175,25.75,13.675,16.8,23.575,23.675
2025-04-01 15:00:00+00:00,449.5,51.4559523825,24.45,250.5,271.67754122499997,18.0,13.149999999999999,17.075,24.2,24.5
2025-04-01 16:00:00+00:00,445.75,51.5247252725,24.4,263.5,138.1265567975,10.0,12.6,16.7375,24.2,24.25
2025-04-01 17:00:00+00:00,437.875,51.3675824175,24.2,276.25,28.6240384625,1.5,10.825,16.9,24.1,23.75
2025-04-01 18:00:00+00:00,442.5,6.0,23.975,288.75,0.075,-7.0,8.625,15.475,23.975,23.525
2025-04-01 19:00:00+00:00,456.75,0.0,23.725,301.75,0.0,-14.25,7.525,14.175,23.775,23.25
2025-04-01 20:00:00+00:00,441.75,0.0,23.55,315.75,0.0,-21.0,7.175,12.75,23.625,23.075000000000003
2025-04-01 21:00:00+00:00,434.125,0.0,23.375,330.5,0.0,-26.25,7.05,11.675,23.475,22.9
2025-04-01 22:00:00+00:00,431.875,0.0,23.175,347.0,0.0,-29.25,6.625,10.825,23.35,22.75
2025-04-01 23:00:00+00:00,431.75,0.0,23.025,64.833333325,0.0,-30.0,7.375,10.15,23.2,22.575000000000003
2025-04-02 00:00:00+00:00,432.0,0.0,22.875,21.875,0.0,-28.0,7.0,9.6,23.1,22.45
2025-04-02 01:00:00+00:00,431.625,0.0,22.75,36.75,0.0,-23.75,7.475,9.725,23.0,22.375
2025-04-02 02:00:00+00:00,432.125,0.0,22.65,51.75,0.0,-17.75,6.925,13.425,22.85,22.3
2025-04-02 03:00:00+00:00,437.375,51.8354853475,22.5,65.5,0.0,-10.0,10.275,17.3583333325,22.675,22.1
2025-04-02 04:00:00+00:00,445.375,50.5148809525,22.375,77.75,4.1875,-2.0,10.4,16.85,22.55,21.975
2025-04-02 05:00:00+00:00,465.775,51.762362637500004,22.3,90.5,71.773237175,6.0,9.575,17.075,22.575000000000003,21.95
2025-04-02 06:00:00+00:00,619.7452922,61.6160256425,22.65,103.0,199.56095240000002,14.5,10.4,17.1,22.8,22.625
2025-04-02 07:00:00+00:00,724.933150175,109.11190477,23.125,116.0,326.60978935,22.75,11.075,17.075,23.55,23.15
2025-04-02 08:00:00+00:00,604.57884615,199.483333325,23.225,131.0,413.33125,29.75,12.125,16.9,23.575,23.325
2025-04-02 09:00:00+00:00,532.6538461499999,264.900000025,23.125,147.5,499.241666675,35.5,13.95,17.05,23.55,22.825
2025-04-02 10:00:00+00:00,746.261904775,268.48333335,23.525,165.75,565.928525625,39.0,14.55,17.1,23.299999999999997,23.075000000000003
2025-04-02 11:00:00+00:00,604.796245425,266.798809525,23.4,185.0,581.6842262,40.0,15.25,17.075000000000003,23.5,23.125
2025-04-02 12:00:00+00:00,666.47000915,274.533333325,23.5,204.0,550.188541675,38.0,15.15,17.05,23.425,23.075
2025-04-02 13:00:00+00:00,775.164285725,271.91785715,24.1,221.0,490.0385119,33.25,16.05,17.225,23.25,23.55
2025-04-02 14:00:00+00:00,474.238636375,58.5186507975,24.2,237.125,390.007719775,27.0,17.525,17.2,24.15,24.35
2025-04-02 15:00:00+00:00,475.321428575,56.5080128225,24.775,250.75,274.182820525,19.0,17.85,16.55,25.1,24.425
2025-04-02 16:00:00+00:00,446.25,56.68690476,24.8,263.625,141.3394047575,11.0,15.35,16.85,24.975,24.175
2025-04-02 17:00:00+00:00,441.0,56.729166667499996,24.65,276.5,31.0357142875,2.25,12.775,17.3875,24.7,23.975
2025-04-02 18:00:00+00:00,442.5,4.125,24.5,288.75,0.275,-7.0,10.9,16.625,24.5,23.85
2025-04-02 19:00:00+00:00,441.25,0.0,24.275,301.5,0.0,-14.75,11.375,15.675,24.325,23.65
2025-04-02 20:00:00+00:00,438.25,0.0,24.05,316.0,0.0,-21.25,10.75,13.725,24.125,23.5
2025-04-02 21:00:00+00:00,435.125,0.0,23.8,331.25,0.0,-26.5,10.075,12.6,23.95,23.3
2025-04-02 22:00:00+00:00,434.375,0.0,23.65,348.125,0.0,-29.0,9.8,12.1,23.75,23.175
2025-04-02 23:00:00+00:00,432.5,0.0,23.475,65.083333325,0.0,-29.5,8.875,11.75,23.7,23.05
2025-04-03 00:00:00+00:00,431.25,0.0,23.35,21.875,0.0,-27.25,8.7,11.35,23.55,22.95
2025-04-03 01:00:00+00:00,429.25,0.0,23.225,36.75,0.0,-23.0,8.55,10.95,23.475,22.825
2025-04-03 02:00:00+00:00,428.375,0.0,23.125,51.75,0.0,-16.75,7.95,10.625,23.35,22.725
2025-04-03 03:00:00+00:00,432.0,54.339285715,23.025,65.5,0.0,-9.0,9.8375,16.40375,23.175,22.625
2025-04-03 04:00:00+00:00,448.125,51.2656593425,22.875,77.75,5.14375,-1.0,10.05,16.95,23.3,22.525
2025-04-03 05:00:00+00:00,500.65,51.490476189999995,22.95,90.5,78.4589881025,7.0,8.6,17.275,23.375,22.5
2025-04-03 06:00:00+00:00,556.190476175,87.766666675,23.2,103.0,205.671289675,15.5,9.8,17.075,23.125,22.525
2025-04-03 07:00:00+00:00,532.559821425,138.8190476,23.125,116.0,325.30189394999996,23.75,12.05,17.05,23.5,22.7
