,R05_07_N_CO201,R05_07_N_FCI01_1,R05_07_N_TRU01,R05_07_V_CO201,R05_07_V_FCI01_1,R05_07_V_TRU01,HTRK_VEN01_TI01,HTR9_VES01_AZ01,HTR9_VES01_SI01,HTR9_VES01_SV01,HTR9_VES01_TUD01,HTRK_RAD03_TF01,R05_07_N_MVV01,R05_07_V_MVV01
2025-06-01 00:00:00+00:00,429.6484127,0,23.6,430.570951,0,23.4,16.3,13.19931973,0,-12.00190476,13.39006803,36.69269841,0,0
2025-06-01 00:15:00+00:00,428.8242725,0,23.6,430.0130676,0,23.37333333,16.16,16.59083333,0,-11.46545455,13.62661111,36.16169312,0,0
2025-06-01 00:30:00+00:00,428.2253391,0,23.6,429.4140002,0,23.3,16.03333333,19.87308469,0,-10.82847575,13.40993084,36.56626374,0,0
2025-06-01 00:45:00+00:00,427.7619608,0,23.53222222,428.5613191,0,23.3,16,23.78582336,0,-9.931925926,13.35422222,36.40010582,0,0
2025-06-01 01:00:00+00:00,427.4723768,0,23.5,429.0614734,0,23.2781746,15.87678571,26.94875464,0,-9.093812616,13.30347403,36.7799513,0,0
2025-06-01 01:15:00+00:00,427.5866667,0,23.5,428.3310008,0,23.2,15.8,29.89238095,0,-8.158095238,13.24438095,36.72552189,0,0
2025-06-01 01:30:00+00:00,426.7883935,0,23.49222222,427.237195,0,23.2,15.8,33.71945406,0,-6.862626263,13.1235974,36.53987179,0,0
2025-06-01 01:45:00+00:00,426.9007753,0,23.41333333,427.5507558,0,23.2,15.7,36.96445709,0,-5.648740684,12.96755556,37.02974074,0,0
2025-06-01 02:00:00+00:00,425.7511965,0,23.4,426.6457463,0,23.19557823,15.6,40.21549784,0.034415584,-4.303138528,12.8,37.02172619,0,0
2025-06-01 02:15:00+00:00,424.8329966,0,23.4,426.9596525,0,23.1,15.51964286,42.88333333,0.337383244,-3.106666667,12.76717949,37.13433333,0,0
2025-06-01 02:30:00+00:00,425.2369697,0,23.4,426.1714286,0,23.1,15.42666667,46.52656301,1.13010303,-1.331818182,12.82029293,37.36555556,0,0
2025-06-01 02:45:00+00:00,424.8,0,23.4,426.2876623,0,23.1,15.4,49.59925824,3.351306761,0.19017094,12.9,37.19134615,0,0
2025-06-01 03:00:00+00:00,424.3028354,0,23.34,425.7020535,0,23.1,15.34,52.36980952,8.428755067,1.619047619,12.85979048,37.39230159,0,0
2025-06-01 03:15:00+00:00,423.9437526,0,23.3,426.0739879,0,23.1,15.3,55.60728956,12.6147732,3.502996633,12.906,36.92638095,0,0
2025-06-01 03:30:00+00:00,423.2690821,0,23.3,425.2753257,0,23.07259259,15.3,58.7735878,26.87874772,5.414025974,13.06180556,36.68185185,0,0
2025-06-01 03:45:00+00:00,422.6780922,0,23.3,424.4739676,0,23.03230159,15.3,61.59586941,36.04860029,7.182115801,13.33214286,36.55,0,0
2025-06-01 04:00:00+00:00,422.788078,0,23.3,422.8937808,0,23.02,15.34968254,64.33966667,31.61409688,8.954074074,13.94172222,36.36322511,0,0
2025-06-01 04:15:00+00:00,421.4388322,0,23.3,423.6009895,0,23,15.4,67.34581164,28.55789842,10.99078607,14.14507937,36.25985234,0,0
2025-06-01 04:30:00+00:00,421.4975758,0,23.3,423.4386481,0,23,15.4,70.4847619,25.48142027,13.10912698,14.1475873,36.04966931,0,0
2025-06-01 04:45:00+00:00,420.8733333,0,23.3,422.825033,0,23,15.32857143,73.3018764,48.16665039,15.09039443,14.08723639,35.83722527,0,0
2025-06-01 05:00:00+00:00,421.2692768,0,23.3,422.7412963,0,23,15.3,76.23170996,97.43251486,17.16510823,14.4385,35.87536182,0,0
2025-06-01 05:15:00+00:00,420.0009777,0,23.3062381,421.9853634,0,23.01253968,15.3,79.21087061,112.969283,19.25650072,14.59631987,35.69481481,0,0
2025-06-01 05:30:00+00:00,420.7355345,0,23.36163059,421.7256249,0,23.09462885,15.37571429,82.04624359,62.96800207,21.27863021,14.77767007,35.51046097,0,0
2025-06-01 05:45:00+00:00,420.2062058,0,23.37459596,421.5833027,0,23.1,15.4,85.04333333,140.9183636,23.44722222,14.69450427,35.46789021,0,0
2025-06-01 06:00:00+00:00,419.3873227,0,23.4,421.1522727,0,23.1,15.42666667,87.99535243,176.8927231,25.52663448,14.73025079,35.22,0,0
2025-06-01 06:15:00+00:00,418.5499432,0,23.4,420.6916456,0,23.1,15.5,91.23522825,202.199739,27.77970996,14.95306349,35.2,0,0
2025-06-01 06:30:00+00:00,418.5450608,0,23.41964286,421.2844092,0,23.14821429,15.55952381,94.52494331,258.5276054,30.01130952,15.11238404,35.2,0,0
2025-06-01 06:45:00+00:00,417.7477715,0,23.5,420.1138047,0,23.2,15.70666667,97.35265873,216.2871455,31.9023545,15.20307204,35.20166667,0,0
2025-06-01 07:00:00+00:00,417.7701129,0,23.5,420.3361199,0,23.2,15.76533333,101.1111825,187.3881107,34.31597619,15.27228571,34.94119048,0,0
2025-06-01 07:15:00+00:00,418.1214141,0,23.52666667,419.7311111,0,23.28333333,15.78,104.6073918,226.9607889,36.43951659,15.28691919,34.88966667,0,0
2025-06-01 07:30:00+00:00,416.9136905,0,23.6,419.1963957,0,23.3,15.6897619,107.7615608,271.4782968,38.32539425,15.3825,35.3,0,0
2025-06-01 07:45:00+00:00,417.5444863,0,23.6,418.2139561,0,23.3,15.68416667,111.7713336,307.5939145,40.52101876,15.3544786,35.3,0,0
2025-06-01 08:00:00+00:00,416.741533,0,23.62,418.4748115,0,23.34866667,15.65089947,115.6162564,279.7600145,42.46698653,15.21810053,35.27333333,0,0
2025-06-01 08:15:00+00:00,417.1046068,0,23.7,418.4625255,0,23.4,15.89893836,119.4572066,242.4006326,44.30274235,14.97690888,35.09071429,0,0
2025-06-01 08:30:00+00:00,416.4155908,0,23.7,418.5188254,0,23.4,15.73333333,123.4744705,239.0621329,46.06432967,15.02666667,35.31964912,0,0
2025-06-01 08:45:00+00:00,417.1744622,0,23.72866667,418.2412121,0,23.4222619,15.72166667,127.8169524,212.0696113,47.85866667,14.99988889,34.86545455,0,0
2025-06-01 09:00:00+00:00,416.2150247,0,23.8,418.3390127,0,23.48666667,15.59037698,132.7197908,233.0337928,49.58755772,15.50554902,34.915,0,0
2025-06-01 09:15:00+00:00,416.3924583,0,23.8,417.9932541,0,23.5,15.50892857,136.8762147,251.3015728,50.92204984,15.69914958,34.93809524,0,0
2025-06-01 09:30:00+00:00,415.9433333,0,23.82,417.1588163,0,23.52,15.6,142.7931385,317.5922491,52.54606421,15.97496296,34.99333333,0,0
2025-06-01 09:45:00+00:00,415.5348485,0,23.9,417.3166667,0,23.6,15.71071429,148.475254,391.8070449,53.83133333,15.93733333,35.00764469,0,0
2025-06-01 10:00:00+00:00,415.7841414,0,23.91444444,417.2584306,0,23.6,15.94666667,154.1713598,314.8376871,54.92079365,15.79218681,34.72694444,0,0
2025-06-01 10:15:00+00:00,414.2437442,0,24,416.907885,0,23.62857143,15.9947619,159.9067744,450.364294,55.75773526,16.04118056,34.89899892,0,0
2025-06-01 10:30:00+00:00,414.4150253,0,24,416.4414141,0,23.7,16.09205556,165.4853054,538.1735453,56.39317532,16.67788552,34.80755556,0,0
2025-06-01 10:45:00+00:00,414.6442907,0,24.01333333,416.7943485,0,23.7,16.0952381,172.0906032,755.0925555,56.86722222,17.64466667,35.08883333,0,0
2025-06-01 11:00:00+00:00,414.7090909,0,24.1,415.9982531,0,23.78142857,16.2,178.3304052,746.7435868,57.06709957,18.3995959,35.12406899,0,0
2025-06-01 11:15:00+00:00,414.4050361,0,24.1,416.0458306,0,23.8,16.41677778,184.0063333,743.2227407,57.02666667,17.86,35.01007283,0,0
2025-06-01 11:30:00+00:00,413.6628431,0,24.1,416.5413901,0,23.8,16.77692308,190.9397143,732.352036,56.69632072,18.44192381,34.654,0,0
2025-06-01 11:45:00+00:00,413.4176756,0,24.1,416.1016897,0,23.80666667,16.616,196.4260734,729.4929543,56.26423143,18.39465397,34.6436961,0,0
2025-06-01 12:00:00+00:00,413.641074,0,24.17857143,415.7263748,0,23.9,16.81142857,202.7957341,736.4940906,55.5,19.00621032,34.6,0,0
2025-06-01 12:15:00+00:00,413.3445876,0,24.2,415.8591722,0,23.93416667,16.855,208.2306926,732.1113176,54.62743257,19.13039369,34.6,0,0
2025-06-01 12:30:00+00:00,413.3467806,0,24.22666667,416.0673436,0,24.02666667,16.71950794,214.0681162,639.8550335,53.4580303,19.29045887,35.06666667,0,0
2025-06-01 12:45:00+00:00,413.5106331,0,24.3,415.7180951,0,24.11547619,16.53571429,218.9259768,720.7127617,52.27270408,19.2595181,35.14761905,0,0
2025-06-01 13:00:00+00:00,413.4635402,0,24.31,415.8248538,0,24.22666667,16.6,224.4780362,608.2736879,50.71111111,19.41235836,34.94728042,0,0
2025-06-01 13:15:00+00:00,413.8911755,0,24.4,415.7253058,0,24.32888889,16.79777778,229.2091641,617.8688064,49.15618651,20.03087626,34.63126984,0,0
2025-06-01 13:30:00+00:00,413.0418272,0,24.4,415.532244,0,24.46666667,16.73,233.822464,392.3769056,47.42806624,19.98772487,34.91481481,0,0
2025-06-01 13:45:00+00:00,413.1426605,0,24.42346939,416.3639429,0,24.50714286,17.16607143,237.6760838,425.3474843,45.86362334,19.61350488,34.70710163,0,0
2025-06-01 14:00:00+00:00,413.4407126,0,24.5,416.4442617,0,24.6,16.98114286,242.0099316,493.7751145,43.91240456,19.69125593,35.24001961,0,0
2025-06-01 14:15:00+00:00,413.4061557,0,24.6,416.245328,0,24.66733333,16.9,246.0430476,462.5267654,41.90456878,20.01366984,35.30833333,0,0
2025-06-01 14:30:00+00:00,413.871722,0,24.6,415.741359,0,24.75918367,16.89438776,249.5924083,512.7294744,40.0821602,21.06971283,35.16140214,0,0
2025-06-01 14:45:00+00:00,414.4198148,0,24.65333333,415.1944444,0,24.8,16.7,252.6824916,361.9415721,38.3486532,21.81254209,34.74868687,0,0
2025-06-01 15:00:00+00:00,413.406734,0,24.7,415.5746606,0,24.78206349,16.7,257.0672273,149.8315364,35.74143939,21.55388889,34.95954558,0,0
2025-06-01 15:15:00+00:00,414.3478569,0,24.7,415.5603517,0,24.7,16.7115,260.2469774,85.31204998,33.75896296,21.21864646,33.83361508,0,0
2025-06-01 15:30:00+00:00,413.9796803,0,24.7,415.5044939,0,24.63095238,16.90785714,262.6028267,90.53392126,32.19112507,21.08273135,36.46566378,0,0
2025-06-01 15:45:00+00:00,413.6269484,0,24.62571429,415.384653,0,24.6,17.03333333,266.8673471,95.92599163,29.39044587,20.65601807,34.81007937,0,0
