,R05_07_N_CO201,R05_07_N_FCI01_1,R05_07_N_TRU01,R05_07_V_CO201,R05_07_V_FCI01_1,R05_07_V_TRU01,HTRK_VEN01_TI01,HTR9_VES01_AZ01,HTR9_VES01_SI01,HTR9_VES01_SV01,HTR9_VES01_TUD01
2025-08-01 00:00:00+00:00,518.0646418,165.65204,22.74333333,516.1872144,157.228777,23.0,17.9,11.63461254,0.0,-16.28112121,16.65129182
2025-08-01 00:15:00+00:00,517.8702742,164.5767857,22.73293651,515.590628,159.0677075,22.91883117,17.9,15.37321429,0.0,-15.77867063,16.52196429
2025-08-01 00:30:00+00:00,517.9147103,166.6447792,22.76444444,515.2604991,161.5004585,22.9,17.9,18.96203463,0.0,-15.13958442,16.73413757
2025-08-01 00:45:00+00:00,517.5159775,167.0767419,22.6,515.3317809,160.4958905,22.86339394,17.84,22.41049603,0.0,-14.44817196,16.43573653
2025-08-01 01:00:00+00:00,518.2091503,166.8440012,22.61333333,515.8837422,156.1672611,22.8,17.68,26.23480484,0.0,-13.50094424,16.75748879
2025-08-01 01:15:00+00:00,517.3304779,166.7992118,22.5,515.5798824,162.3559487,22.8,17.55595238,29.0463251,0.0,-12.71310039,16.95198864
2025-08-01 01:30:00+00:00,518.2451282,168.4182732,22.52,515.941952,162.3377428,22.8,17.34444444,33.14076142,0.0,-11.39495238,16.90100433
2025-08-01 01:45:00+00:00,518.1483045,166.9559885,22.48928571,516.4698718,163.943109,22.71785714,17.14166667,36.87294071,0.0,-10.0640377,16.69156626
2025-08-01 02:00:00+00:00,518.7015495,165.3257638,22.4,516.7802198,156.1888765,22.7,17.0,39.86721939,0.0,-8.884722222,16.55031746
2025-08-01 02:15:00+00:00,519.275641,167.8304762,22.46666667,518.0545064,157.7793691,22.6,16.872,43.112,0.0,-7.476388889,16.52905556
2025-08-01 02:30:00+00:00,520.4578522,167.6140631,22.48,519.7275916,160.6291829,22.6,16.76666667,46.01461857,0.0,-6.169813131,16.11694949
2025-08-01 02:45:00+00:00,521.1658153,168.4545861,22.48666667,527.1609776,161.5645563,22.6,16.7,49.52889827,0.155743723,-4.42311039,16.06818944
2025-08-01 03:00:00+00:00,528.3157881,44.23571429,22.57202381,532.2252112,42.03720485,22.6,16.61910431,52.66937903,0.755603777,-2.77603349,15.98775641
2025-08-01 03:15:00+00:00,525.0273394,62.0971917,22.87333333,521.961594,64.80930986,22.68666667,17.01066667,55.95872222,2.646467949,-0.915166667,16.87589744
2025-08-01 03:30:00+00:00,523.4070974,63.57520421,22.8863569,519.9521208,65.86971259,22.7,17.39014141,58.61950433,8.265394586,0.508310356,17.1798007
2025-08-01 03:45:00+00:00,521.0473856,63.78037905,22.88,516.4632006,64.71149573,22.7,16.56666667,62.218114,23.08470955,2.704560847,17.78789466
2025-08-01 04:00:00+00:00,519.7726303,62.67751832,22.76319444,516.0385731,65.58947631,22.7,17.38571429,64.98768776,23.28522603,4.491315976,17.67187919
2025-08-01 04:15:00+00:00,516.6554882,62.7264719,22.7352381,514.3365079,65.82234151,22.7,16.61973138,67.99519444,25.91636912,6.426949735,17.12981746
2025-08-01 04:30:00+00:00,515.5762963,63.1612963,22.85416667,513.2395623,66.06666667,22.7,17.035,71.2390392,29.66040426,8.6094709,16.61126455
2025-08-01 04:45:00+00:00,515.2751196,62.76447938,22.86875,512.7299043,66.57189123,22.7,16.97166667,74.1206286,38.00116577,10.56899529,16.40758673
2025-08-01 05:00:00+00:00,514.1681555,62.83961052,22.88552041,513.1297338,65.97905127,22.7,16.92888889,76.58964072,97.95801961,12.30188827,16.91236364
2025-08-01 05:15:00+00:00,515.7378429,63.06805556,22.89737442,513.3135003,66.14363986,22.7,17.24075367,79.78957194,184.2216181,14.51227377,17.6660352
2025-08-01 05:30:00+00:00,518.9824903,63.01367474,22.85467677,514.6143535,65.87277222,22.7,17.28282051,83.06910741,184.7599864,16.86989379,18.35429181
2025-08-01 05:45:00+00:00,522.9679394,63.39836647,22.96326531,513.3768488,66.46733724,22.7,17.13714286,85.92197039,118.0591162,18.86062118,18.06041667
2025-08-01 06:00:00+00:00,527.1149669,62.59654692,23.00528139,515.2236955,65.40319967,22.78536931,17.06650409,89.13234127,220.2911394,21.10922198,18.63412434
2025-08-01 06:15:00+00:00,527.7376273,62.95461676,23.1175,526.0041246,66.10968254,22.8175,17.25333333,92.14957672,332.0922034,23.20609788,19.53328571
