,R05_07_N_CO201,R05_07_N_FCI01_1,R05_07_N_TRU01,R05_07_V_CO201,R05_07_V_FCI01_1,R05_07_V_TRU01,HTRK_VEN01_TI01,HTR9_VES01_AZ01,HTR9_VES01_SI01,HTR9_VES01_SV01,HTR9_VES01_TUD01,R05_07_N_MVV01,R05_07_V_MVV01,HTRK_RAD03_TF01
2025-09-01 00:00:00+00:00,474.3209357,316.3266382,23.2,475.4,315.6801071,23.52444444,19.2,14.79494505,0,-25.70533333,20.24666795,0,0,26.6
2025-09-01 00:15:00+00:00,473.690407,312.6710693,23.10459184,475.1680069,313.6915491,23.5,19.1,18.66426587,0,-25.13960678,20.28386621,0,0,26.6
2025-09-01 00:30:00+00:00,473.5984633,313.3656166,23.1,474.0738187,316.6784066,23.44444444,19.1,22.70830303,0,-24.35091582,20.44174074,0,0,26.6
2025-09-01 00:45:00+00:00,473.5622546,314.3322995,23.1,474.1806223,315.8494476,23.4,19.04285714,26.45619331,0,-23.51930916,20.47615955,0,0,26.6
2025-09-01 01:00:00+00:00,473.7596338,313.6164835,23.00666667,474.3393585,315.3867445,23.38666667,19,30.3990291,0,-22.4791746,20.20663636,1.012761416,0.25478486,26.6
2025-09-01 01:15:00+00:00,473.9466874,309.9145604,23,473.7991714,316.1880085,23.33469388,18.965,34.17360029,0,-21.33033911,19.9017316,0,0,26.6
2025-09-01 01:30:00+00:00,473.9448485,311.4137566,22.99888889,474.0508772,318.4570563,23.3,18.9,38.00936748,0,-20.04222222,19.53851852,0,0,26.6
2025-09-01 01:45:00+00:00,474.2691829,313.5469118,22.96190476,473.7862013,317.093289,23.3,18.85714286,41.60290404,0,-18.72194419,19.30816833,0,0,26.6
2025-09-01 02:00:00+00:00,473.34,312.8033766,22.9,474.4821346,315.0718234,23.24,18.8,44.88024603,0,-17.34222222,18.27304329,0,0,26.56503205
2025-09-01 02:15:00+00:00,474.4113411,315.3642143,22.89666667,474.0522318,314.9682208,23.2,18.70857143,48.8027381,0,-15.61904762,18.5287037,0,0,26.5
2025-09-01 02:30:00+00:00,474.6950677,318.831575,22.83622449,477.6995663,317.4563394,23.2,18.7,52.19028061,0,-14.00463435,19.07506453,0,0,26.5
2025-09-01 02:45:00+00:00,477.4672891,317.0903749,22.86211111,491.4746151,318.7971931,23.18694444,18.7,55.51192593,0,-12.28412698,19.39517201,0,0,26.5
2025-09-01 03:00:00+00:00,479.9420015,82.5504386,23.12732143,486.0923443,90.6910161,23.21156463,18.65119048,59.04555982,0,-10.38696339,18.9821712,0,0,26.41339286
2025-09-01 03:15:00+00:00,470.4008081,65.98518519,23.5,471.3448019,66.16555556,23.35333333,17.16,62.1952381,0,-8.526666667,19.44495238,0,0,26.4
2025-09-01 03:30:00+00:00,468.0159664,65.96643241,23.5,467.4224698,66.30693467,23.36428571,17.2577381,65.01472866,0,-6.87390873,19.6233325,0,0,26.4
2025-09-01 03:45:00+00:00,467.602845,65.35633555,23.5,464.4467738,65.81527113,23.36333333,17.23333333,68.38862698,0.118865139,-4.810644911,19.92936229,0,0,26.4
2025-09-01 04:00:00+00:00,470.0208831,66.44613846,23.5,463.1881688,65.77375722,23.4,17.01071429,71.59275794,1.007878286,-2.720918367,20.10277778,0,0,26.4
2025-09-01 04:15:00+00:00,468.2520348,62.88232107,23.5,462.8170079,66.0676461,23.38309524,16.67333333,74.60227273,4.16882544,-0.725049654,20.10083109,0,0,26.4
2025-09-01 04:30:00+00:00,466.2881494,61.47351062,23.5,461.2956092,65.96954827,23.31428571,16.6,77.83540695,13.98225485,1.342067238,20.23706633,0,0,26.35714286
2025-09-01 04:45:00+00:00,465.741716,61.37129456,23.5,461.4837604,65.93929467,23.3,16.63366667,80.8321544,22.55982924,3.384907648,20.34711415,0,0,26.3
2025-09-01 05:00:00+00:00,466.2742707,60.67509399,23.5,464.6599639,65.70077796,23.35895692,16.9610989,83.91996688,29.468606,5.528013217,20.30682001,0,0,26.24821429
2025-09-01 05:15:00+00:00,470.7002106,60.66973545,23.5,471.4725427,65.19091947,23.3868254,17.2,86.9100373,32.47185025,7.623856514,20.38683916,0,0,26.2
2025-09-01 05:30:00+00:00,486.0723776,61.42416056,23.55779221,482.9310993,64.8322397,23.46094156,17.27318285,90.08832098,50.35214653,9.800867018,20.42180462,0,0,26.2
2025-09-01 05:45:00+00:00,509.1991313,60.00704185,23.58480952,511.805777,64.02964277,23.55777778,17.2552381,93.12572222,125.2878332,11.89635185,20.90295556,0,0,26.2
2025-09-01 06:00:00+00:00,524.7911977,58.91578283,23.74285714,534.6178355,63.94322677,23.60714286,17.51632653,96.38754371,108.0209429,14.13137577,20.92875357,0,0,26.2
2025-09-01 06:15:00+00:00,583.2795031,58.05026822,23.80666667,585.8030477,63.93434951,23.73444444,17.58,99.62277249,112.0391199,16.29611111,21.00655556,0,0,26.2
2025-09-01 06:30:00+00:00,596.397618,65.02555253,24.04878401,573.5734238,64.64586054,23.87172619,17.5,102.7950343,194.0971627,18.3671341,21.16431746,0,0,26.2
2025-09-01 06:45:00+00:00,596.4159811,69.30440519,24.01428571,571.0119605,65.22616625,23.86,17.40267857,106.1722884,229.4941766,20.50735281,21.22241878,0,0,26.13031746
2025-09-01 07:00:00+00:00,609.4354333,74.25398194,24.05942857,597.1869879,63.95851302,23.8845,17.22238095,109.5038333,148.8562933,22.564,21.25636111,0,0,26.1
2025-09-01 07:15:00+00:00,615.0049228,88.64840066,24.21107143,607.3252665,64.99582848,23.99285714,17.1375,113.0067132,373.9351144,24.56294682,21.63487589,0,0,26.1
2025-09-01 07:30:00+00:00,627.5497762,112.4413462,24.32888889,604.5909944,68.14945958,24.12666667,17.2,116.4677933,387.6524963,26.51655611,22.14928982,0,0,26.1
2025-09-01 07:45:00+00:00,645.9481659,146.0261438,24.36,631.2332501,81.41224252,24.07714286,17.26571429,119.8693166,411.6377995,28.27484127,22.13994434,0,0,26.1
2025-09-01 08:00:00+00:00,652.0757739,180.027846,24.44345238,617.5879941,90.83016823,24.18928571,17.16428571,123.6534929,430.5676638,30.17944444,22.39991867,0,0,26.1
2025-09-01 08:15:00+00:00,632.4356132,216.8368584,24.39166667,625.4162392,109.201025,24.28461538,17.1,127.6569388,475.3550666,32.01428571,22.28559184,0,0,26.1
2025-09-01 08:30:00+00:00,624.2962441,247.1454151,24.3051746,655.0255121,136.6748549,24.28383333,17.15663492,131.543153,454.4713319,33.62595599,22.40480093,0,0,26.1
2025-09-01 08:45:00+00:00,614.2143222,275.0661584,24.28205782,645.5952572,155.6918834,24.18928571,17.15,135.6861111,464.2478805,35.205,22.32214286,0,0,26.02857143
2025-09-01 09:00:00+00:00,607.0038095,298.4448485,24.19106061,642.690202,169.5670982,24.10333333,17.05866667,139.7806667,523.7085639,36.62387302,22.47590476,0,0,26
2025-09-01 09:15:00+00:00,599.5809524,310.8789502,24.11071429,616.2602158,184.4621741,24.04583333,17.06388889,144.2817177,545.8752191,38.01186224,22.33142857,0,0,26
2025-09-01 09:30:00+00:00,604.1408333,315.9905291,24.15666667,597.1772508,181.0343433,23.99866667,16.89666667,148.7304615,563.812487,39.20077506,22.92546032,0,0,26
2025-09-01 09:45:00+00:00,591.975732,316.9225109,24.10142857,589.3389974,177.0085643,23.99357143,16.93714286,153.0742857,586.0031373,40.22916514,22.92668704,0,0,26
2025-09-01 10:00:00+00:00,574.7836823,315.0683812,24.04527778,564.9805878,167.9794703,23.8415,17.37833333,158.0853571,580.3477402,41.17452381,22.72372698,0,0,26
2025-09-01 10:15:00+00:00,544.5641122,311.5559885,24.00102041,543.8322793,151.6713297,23.96283333,17.32738095,163.1270895,587.4985593,41.91403175,23.0605013,0,0,25.91
2025-09-01 10:30:00+00:00,528.4978131,307.8514739,23.95,545.5240414,151.1438184,24,16.98333333,168.0987982,559.4611203,42.47443594,22.63343056,0,0,25.9
2025-09-01 10:45:00+00:00,541.8662963,297.5357143,24.00902778,558.0059704,152.9289141,24,16.96666667,172.7702631,581.9795402,42.8164026,22.63887253,0,0,25.9
2025-09-01 11:00:00+00:00,560.8684609,300.8378728,23.93010204,576.6143292,146.0094344,24.01892857,17.06142857,177.9112132,531.5372211,43,23.14183673,0,0,25.9
2025-09-01 11:15:00+00:00,563.0658134,295.1855311,23.97344444,575.7241431,143.0945395,23.99244589,16.48911111,182.9611905,478.4793243,42.9875,22.82094577,0,0,25.88833333
2025-09-01 11:30:00+00:00,552.8444303,292.5030187,23.96982143,570.3666993,146.8327428,23.96131868,16.7,187.8755102,584.9390615,42.84047619,23.15075964,0,0,25.8
2025-09-01 11:45:00+00:00,563.5177234,286.3531738,23.94190476,562.133878,144.1381445,23.96533333,16.79591837,192.877619,564.8407211,42.43896825,22.91714574,0,0,25.8
2025-09-01 12:00:00+00:00,553.5334053,293.9914807,24.12291667,544.1077957,140.1975787,23.93571429,16.69285714,197.7444496,328.544931,41.85640074,21.91386827,0,0,25.8
2025-09-01 12:15:00+00:00,547.1125253,300.8722559,24.02555556,534.3227273,132.5994949,23.91777778,16.75965079,202.6484444,365.1913308,41.10952381,22.03883333,0,0,25.8
2025-09-01 12:30:00+00:00,556.1979978,307.1480138,24.16837662,534.8735748,123.3831403,23.9702381,17.03214286,207.2779762,296.4614872,40.20172194,22.43264385,0,0,25.8
2025-09-01 12:45:00+00:00,549.3407137,316.7156902,24.035,528.6543137,122.5373737,23.99444444,16.98888889,211.9939339,264.5243275,39.10533333,21.97744444,0,0,25.78
2025-09-01 13:00:00+00:00,532.130453,308.5420306,23.96167929,518.6980575,119.5449253,23.9,17.05,216.1932353,238.1180112,37.98370558,22.07148249,0,0,25.7
2025-09-01 13:15:00+00:00,538.8749387,302.110709,23.86282051,519.9836994,115.2757531,23.95777778,17.06410256,220.582324,349.1179317,36.63766955,22.04956825,0,0,25.7
2025-09-01 13:30:00+00:00,518.8958725,296.035489,24.03896259,522.6332956,114.7688241,24.06309524,17.49,224.9448571,483.9270096,35.09592593,22.35680556,0,0,25.7
2025-09-01 13:45:00+00:00,504.5241213,295.3308366,24.06051282,514.5575717,121.9662397,24.18571429,17.49833333,228.5881476,387.513957,33.69132261,21.8734949,0,0,25.7
2025-09-01 14:00:00+00:00,496.8849856,129.968254,24.22,508.2310352,84.04872867,24.31333333,15.77555556,232.5071429,367.1420913,32.05150794,20.35266667,0,0,25.7
2025-09-01 14:15:00+00:00,499.7905024,63.93457474,24.36487179,507.6623658,62.18160495,24.34892857,14.80786325,236.5037245,119.7239102,30.17912415,20.48668112,0,0,25.7
2025-09-01 14:30:00+00:00,497.5245331,65.11936302,24.4,502.0011943,63.35017327,24.3,16.27863492,240.4689144,138.5985161,28.22446465,19.81763384,0,0,25.7
2025-09-01 14:45:00+00:00,492.219281,61.00473138,24.4,496.9953313,62.50312489,24.3,17.18928571,243.9895604,206.6209628,26.35204082,20.57194662,0,0,25.7
2025-09-01 15:00:00+00:00,490.6119003,58.41524565,24.44880952,493.3858295,60.10207856,24.32279853,17.18496296,247.3558715,258.5916161,24.47114153,20.69458476,0,0,25.7
2025-09-01 15:15:00+00:00,489.1145887,61.04636364,24.47677778,491.2258153,62.6007232,24.56355556,17.59714286,250.9752778,216.4459276,22.305,20.67611111,0,0,25.7
2025-09-01 15:30:00+00:00,487.0377187,61.53961789,24.53076923,486.41915,62.61427258,24.52142857,17.23846154,254.1891582,74.79113789,20.37471939,20.69002381,0,0,25.7
2025-09-01 15:45:00+00:00,483.9094696,61.74758492,24.5,484.1372832,63.27670194,24.40824074,16.97357143,257.5688339,47.80652409,18.18517989,20.37988833,0,0,25.7
2025-09-01 16:00:00+00:00,481.6366368,62.44484127,24.5,481.7567272,63.93290514,24.31428571,16.64615385,260.6048469,31.19529329,16.21779827,20.28990476,0,0,25.7
2025-09-01 16:15:00+00:00,479.5304414,59.63038258,24.43333333,479.057631,59.3688756,24.26966667,16.47333333,263.8154497,27.45889668,14.04615385,20.24541667,0,0,25.7
2025-09-01 16:30:00+00:00,478.2042146,62.78955608,24.4,478.2246884,63.96256261,24.18928571,16.75595238,267.0461039,24.26838433,11.83636364,20.23666667,0,0,25.7
2025-09-01 16:45:00+00:00,475.0683209,64.28147667,24.37333333,476.271238,58.82815524,24.1,17,270.2474074,20.65928583,9.641640212,20.47044444,0,0,25.7
2025-09-01 17:00:00+00:00,475.4419256,65.09873599,24.28642857,474.7136053,66.33840706,24.1,17.29674036,273.1863095,11.21508698,7.580192744,20.58599662,0,0,25.7
2025-09-01 17:15:00+00:00,474.4271555,65.03780423,24.2,474.8349391,65.12830682,24.1,17.12242424,276.2803911,3.786176874,5.395555556,20.45020741,0,0,25.7
2025-09-01 17:30:00+00:00,473.0995238,65.13635381,24.2,472.1438372,66.40529921,24.01428571,17.32964286,279.3720446,0.838263592,3.241434756,20.25782313,0,0,25.7
2025-09-01 17:45:00+00:00,472.1659477,65.46944444,24.2,471.2950496,66.38760032,24,17.11555556,282.5636032,0.249081064,1.060285714,20.28406667,0,0,25.63483333
2025-09-01 18:00:00+00:00,472.5244468,64.95209751,24.10714286,469.9143902,66.33225624,24,16.9,285.6108277,0.017174603,-0.886989796,19.88178571,0,0,25.6
2025-09-01 18:15:00+00:00,471.8873399,66.32795371,24.1,469.2425289,66.32048109,23.92888889,16.62711111,288.6715822,0,-2.897794058,18.69784206,0,0,25.6
2025-09-01 18:30:00+00:00,470.2384864,66.45596404,24.03511905,468.9456512,65.07514225,23.9,16.32399351,291.6415561,0,-4.831167255,17.6442565,0,0,25.6
2025-09-01 18:45:00+00:00,470.0290883,65.73816184,23.94666667,469.0816053,65.86552269,23.84222222,16.88066667,294.8788889,0,-6.855166667,17.13128889,0,0,25.6
2025-09-01 19:00:00+00:00,471.6173924,9.428571429,23.95714286,468.652887,9.857142857,23.8,17.22857143,298.1471514,0,-8.785919438,16.93826531,0,0,25.6
2025-09-01 19:15:00+00:00,470.3152837,0,24,468.1045584,0,23.8,17.3,301.3774259,0,-10.64388889,16.9518254,0,0,25.6
2025-09-01 19:30:00+00:00,469.4997778,0,24,468.3672312,0,23.8,17.4,304.9010952,0,-12.59506349,17,0,0,25.6
2025-09-01 19:45:00+00:00,469.1643657,0,24,468.0735869,0,23.8,17.5,308.2837272,0,-14.29587912,17.02791209,0,0,25.6
2025-09-01 20:00:00+00:00,467.7422222,0,23.95,466.8748851,0,23.75333333,17.55047619,311.5254286,0,-15.87921116,17.19562857,0,0,25.62666667
2025-09-01 20:15:00+00:00,467.410445,0,23.9,466.6013895,0,23.7,17.70073696,315.2733241,0,-17.54771736,17.28900742,0,0,25.7
2025-09-01 20:30:00+00:00,466.9148747,0,23.9,465.9536155,0,23.7,17.8,318.7322569,0,-18.97139683,17.48338648,0,0,25.7
2025-09-01 20:45:00+00:00,465.7766079,0,23.9,464.823704,0,23.7,17.91666667,322.2771429,0,-20.27142857,17.79187302,0,0,25.7
2025-09-01 21:00:00+00:00,464.5681481,114.5865079,23.7,464.3031469,112.4402116,23.63111111,18.23076923,326.1762084,0,-21.63477839,18.16036355,0,0,25.7
2025-09-01 21:15:00+00:00,472.0583076,167.3244898,23.5,471.4597494,162.7176474,23.59464286,19,330.1097944,0,-22.80791667,18.26442486,0,0,25.7
2025-09-01 21:30:00+00:00,476.8132613,166.8515398,23.44038462,476.8414282,162.1796456,23.5,19.09384615,333.4987683,0,-23.72111289,18.27236467,0,0,25.7
