Unnamed: 0,R05_07_N_CO201,R05_07_N_FCI01_1,R05_07_N_TRU01,R05_07_V_CO201,R05_07_V_FCI01_1,R05_07_V_TRU01,HTRK_VEN01_TI01,HTR9_VES01_AZ01,HTR9_VES01_SI01,HTR9_VES01_SV01,HTR9_VES01_TUD01
2025-04-01 00:00:00+00:00,473.0,0.0,22.0,469.0,0.0,21.8,12.9,15.5,0.0,-30.0,4.1
2025-04-01 00:15:00+00:00,472.0,0.0,21.9,470.5,0.0,21.6,15.0,20.0,0.0,-29.0,4.2
2025-04-01 00:30:00+00:00,471.5,0.0,21.9,470.5,0.0,21.7,14.8,24.0,0.0,-28.0,4.0
2025-04-01 00:45:00+00:00,469.0,0.0,21.9,469.0,0.0,21.7,13.0,28.0,0.0,-28.0,4.0
2025-04-01 01:00:00+00:00,470.0,0.0,21.8,468.0,0.0,21.7,13.7,32.0,0.0,-26.0,4.0
2025-04-01 01:15:00+00:00,445.5,0.0,21.8,465.0,0.0,21.7,14.6,35.0,0.0,-25.0,3.8
2025-04-01 01:30:00+00:00,423.0,0.0,21.8,466.5,0.0,21.6,13.3,39.0,0.0,-24.0,3.7
2025-04-01 01:45:00+00:00,424.0,0.0,21.8,464.5,0.0,21.6,13.0,43.0,0.0,-23.0,3.5
2025-04-01 02:00:00+00:00,423.0,0.0,21.8,464.5,0.0,21.6,14.6,47.0,0.0,-21.0,3.5
2025-04-01 02:15:00+00:00,422.0,0.0,21.8,464.5,0.0,21.6,14.1,50.0,0.0,-20.0,3.5
2025-04-01 02:30:00+00:00,430.6,0.0,21.8,477.8333333,0.0,21.6,13.0,53.0,0.0,-18.0,3.6
2025-04-01 02:45:00+00:00,441.25,0.0,21.8,493.5,0.0,21.8,13.9,57.0,0.0,-16.0,3.6
2025-04-01 03:00:00+00:00,447.5,64.77777778,21.9,489.8333333,52.66666667,21.9,16.7,61.0,0.0,-14.0,3.5
2025-04-01 03:15:00+00:00,446.0,61.21428571,21.9,491.0,61.90909091,21.9,20.9,64.0,0.0,-12.0,3.5
2025-04-01 03:30:00+00:00,443.5,60.78571429,22.0,486.5,61.73333333,22.0,18.8,67.0,0.0,-11.0,3.5
2025-04-01 03:45:00+00:00,443.5,60.8,22.0,482.0,61.83333333,22.3,17.4,70.0,0.0,-9.0,3.5
2025-04-01 04:00:00+00:00,441.5,61.06666667,22.0,483.0,62.07142857,22.1,18.4,73.0,0.0,-7.0,3.2
2025-04-01 04:15:00+00:00,441.5,61.2,22.1,482.0,61.69230769,22.1,18.0,76.0,0.4,-4.0,3.2
2025-04-01 04:30:00+00:00,438.5,60.93333333,22.1,481.0,61.46153846,21.9,17.9,79.0,2.4,-2.0,3.1
2025-04-01 04:45:00+00:00,443.0,61.07142857,22.1,488.6666667,61.64285714,22.0,17.8,83.0,8.48,0.0,3.6
2025-04-01 05:00:00+00:00,460.5,60.73333333,22.2,509.8571429,61.85714286,22.1,18.3,86.0,24.67272727,2.0,4.1
2025-04-01 05:15:00+00:00,476.4285714,65.86666667,22.2,602.0,68.42857143,22.2,17.9,89.0,51.70666667,4.0,4.3
2025-04-01 05:30:00+00:00,500.0,65.93333333,22.3,577.2222222,69.26666667,22.4,18.0,92.0,82.79285714,7.0,4.8
2025-04-01 05:45:00+00:00,533.25,65.2,22.3,594.0,62.53333333,22.8,18.0,95.0,116.2866667,10.0,4.7
2025-04-01 06:00:00+00:00,566.5,65.33333333,22.1,639.0833333,62.4,22.5,17.7,98.0,147.7153846,12.0,5.0
2025-04-01 06:15:00+00:00,592.6363636,64.26666667,22.4,653.5,63.73333333,22.5,18.0,101.0,179.3,14.0,5.5
2025-04-01 06:30:00+00:00,638.1428571,60.5,22.4,689.2727273,63.35714286,22.7,17.8,105.0,213.2933333,16.0,6.1
2025-04-01 06:45:00+00:00,703.1428571,59.93333333,22.6,751.0,62.28571429,22.8,17.7,108.0,247.3333333,18.0,6.9
2025-04-01 07:00:00+00:00,765.0,60.6,22.8,814.7142857,85.71428571,22.7,17.8,111.0,277.8785714,20.0,7.5
2025-04-01 07:15:00+00:00,798.6153846,65.4,22.9,843.1538462,114.7333333,23.0,17.5,114.0,308.95,22.0,7.6
2025-04-01 07:30:00+00:00,809.0833333,73.26666667,22.8,868.4444444,152.2,23.0,17.5,118.0,337.1692308,24.0,8.4
2025-04-01 07:45:00+00:00,819.1666667,87.8,22.9,857.0,137.2666667,23.0,17.5,122.5,364.0071429,26.0,9.1
2025-04-01 08:00:00+00:00,826.0,96.86666667,23.1,835.4,114.0666667,23.0,17.2,126.0,391.7461538,28.0,8.8
2025-04-01 08:15:00+00:00,809.375,76.2,23.1,841.7777778,115.3333333,23.1,17.0,129.0,416.8833333,30.0,9.6
2025-04-01 08:30:00+00:00,814.6,83.33333333,23.2,851.4,131.3571429,23.1,17.1,133.0,434.1636364,31.0,11.1
2025-04-01 08:45:00+00:00,821.8181818,92.06666667,23.2,841.6666667,119.5333333,23.0,17.0,137.0,400.4076923,33.0,11.2
2025-04-01 09:00:00+00:00,773.6153846,76.53333333,23.3,803.7857143,92.2,23.1,17.0,141.0,435.5307692,34.0,11.6
2025-04-01 09:15:00+00:00,752.1333333,65.33333333,23.5,784.8,68.93333333,23.2,16.8,145.0,499.8166667,35.0,11.4
2025-04-01 09:30:00+00:00,737.0666667,66.06666667,23.5,780.0,72.8,23.0,16.8,150.0,519.1555556,36.0,12.3
2025-04-01 09:45:00+00:00,710.7333333,66.73333333,23.4,710.4666667,64.46666667,23.0,16.7,154.0,535.38,37.0,13.1
2025-04-01 10:00:00+00:00,674.7333333,61.14285714,23.4,695.7142857,64.14285714,23.0,16.8,158.0,550.3875,38.0,13.4
2025-04-01 10:15:00+00:00,661.3571429,60.73333333,23.5,695.2666667,64.33333333,23.2,16.8,163.0,561.7,39.0,13.9
2025-04-01 10:30:00+00:00,666.9166667,60.33333333,23.4,707.3333333,66.53333333,23.0,16.8,169.0,569.0,39.0,13.4
2025-04-01 10:45:00+00:00,666.8461538,60.53333333,23.6,697.3333333,66.53333333,23.1,16.9,173.0,576.9875,40.0,14.2
2025-04-01 11:00:00+00:00,668.8181818,60.66666667,23.6,678.2,66.06666667,23.1,16.9,177.0,578.0777778,40.0,13.7
2025-04-01 11:15:00+00:00,659.9090909,59.93333333,23.7,653.8571429,66.35714286,22.9,17.1,182.0,579.88,40.0,13.8
2025-04-01 11:30:00+00:00,651.4545455,58.73333333,23.7,659.5714286,122.2307692,23.0,17.2,187.0,579.4,39.0,14.4
2025-04-01 11:45:00+00:00,638.5,58.86666667,23.5,660.5714286,128.2666667,23.1,17.1,192.0,573.6714286,39.0,13.9
2025-04-01 12:00:00+00:00,642.4666667,58.4,23.4,673.2666667,65.35714286,23.3,17.3,197.0,565.5125,38.0,15.4
2025-04-01 12:15:00+00:00,639.6428571,60.13333333,23.7,660.5333333,60.07142857,23.3,17.1,202.0,556.9222222,38.0,15.5
2025-04-01 12:30:00+00:00,649.6428571,59.4,23.7,659.1333333,60.13333333,23.4,17.0,206.0,544.325,37.0,16.1
2025-04-01 12:45:00+00:00,640.3571429,60.2,23.7,669.5,59.86666667,23.4,16.9,211.0,528.2666667,36.0,15.5
2025-04-01 13:00:00+00:00,650.5333333,59.4,23.5,663.6,59.64285714,23.3,16.8,215.0,514.0125,34.0,14.5
2025-04-01 13:15:00+00:00,627.2857143,60.57142857,23.7,640.1428571,60.53333333,23.6,17.0,219.0,501.7416667,33.0,14.2
2025-04-01 13:30:00+00:00,602.5384615,60.73333333,23.6,622.6363636,60.85714286,23.5,16.6,223.0,478.6,32.0,14.0
2025-04-01 13:45:00+00:00,570.5384615,62.2,23.7,598.6666667,61.21428571,23.4,16.9,227.0,456.6090909,30.0,13.7
2025-04-01 14:00:00+00:00,554.5454545,64.66666667,23.5,590.5,64.66666667,23.7,16.9,231.5,431.5833333,28.0,14.0
2025-04-01 14:15:00+00:00,545.2857143,65.26666667,23.4,581.75,63.6,23.9,16.8,235.0,406.375,27.0,13.6
2025-04-01 14:30:00+00:00,529.4444444,65.73333333,23.5,568.25,63.07142857,24.1,17.2,238.0,379.7,25.0,13.6
2025-04-01 14:45:00+00:00,511.0,65.21428571,23.6,557.0,63.14285714,24.3,16.3,242.0,350.1285714,23.0,13.5
2025-04-01 15:00:00+00:00,506.4,65.13333333,23.7,549.5,63.35714286,24.6,17.3,245.0,319.8214286,21.0,13.1
2025-04-01 15:15:00+00:00,494.0,65.86666667,23.7,542.0,63.71428571,24.6,17.2,248.0,289.0214286,19.0,13.2
2025-04-01 15:30:00+00:00,485.5,65.4,23.8,536.0,63.8,24.6,16.4,253.0,256.7923077,17.0,13.2
2025-04-01 15:45:00+00:00,482.0,65.13333333,23.9,533.0,63.33333333,24.6,17.4,256.0,221.075,15.0,13.1
2025-04-01 16:00:00+00:00,478.0,65.06666667,23.9,530.0,62.78571429,24.6,17.7,259.0,187.0866667,13.0,13.1
2025-04-01 16:15:00+00:00,477.4,65.6,23.9,527.0,63.0,25.5,16.5,262.0,151.0538462,11.0,12.6
2025-04-01 16:30:00+00:00,477.0,64.93333333,23.9,526.0,63.14285714,25.7,16.85,265.0,124.08,9.0,12.7
