,R05_07_N_CO201,R05_07_N_FCI01_1,R05_07_N_TRU01,R05_07_V_CO201,R05_07_V_FCI01_1,R05_07_V_TRU01,HTRK_VEN01_TI01,HTR9_VES01_AZ01,HTR9_VES01_SI01,HTR9_VES01_SV01,HTR9_VES01_TUD01
2025-04-01 00:00:00+00:00,471.375,0.0,21.924999999999997,469.75,0.0,21.7,13.925,21.875,0.0,-28.75,4.075
2025-04-01 01:00:00+00:00,440.625,0.0,21.8,466.0,0.0,21.65,13.65,37.25,0.0,-24.5,3.75
2025-04-01 02:00:00+00:00,429.2125,0.0,21.8,475.083333325,0.0,21.650000000000002,13.9,51.75,0.0,-18.75,3.55
2025-04-01 03:00:00+00:00,445.125,61.894444445,21.95,487.333333325,59.53560606,22.025,18.45,65.5,0.0,-11.5,3.5
2025-04-01 04:00:00+00:00,441.125,61.0678571425,22.075000000000003,483.666666675,61.717032965,22.025,18.025,77.75,2.8200000000000003,-3.25,3.2750000000000004
2025-04-01 05:00:00+00:00,492.54464285,64.4333333325,22.25,570.769841275,65.5214285725,22.375,18.05,90.5,68.864729445,5.75,4.475
2025-04-01 06:00:00+00:00,625.10551945,62.5083333325,22.375,683.21401515,62.94404762,22.625,17.8,103.0,196.9105128,15.0,5.875
2025-04-01 07:00:00+00:00,797.9663461499999,71.7666666675,22.85,845.828144075,122.47857142749999,22.925,17.575,116.375,322.001236275,23.0,8.15
2025-04-01 08:00:00+00:00,817.94829545,87.1166666675,23.15,842.561111125,120.07261905,23.05,17.075,131.25,410.80020394999997,30.5,10.175
2025-04-01 09:00:00+00:00,743.387179475,68.66666666500001,23.425,769.76309525,74.6,23.075,16.825,147.5,497.47074787500003,35.5,12.1
2025-04-01 10:00:00+00:00,667.463324175,60.6857142825,23.475,698.9119047500001,65.3857142825,23.075,16.825,165.75,564.51875,39.0,13.725
2025-04-01 11:00:00+00:00,654.67045455,59.55,23.625,663.050000025,95.7303113575,23.025,17.075,184.5,577.7573016,39.5,13.95
2025-04-01 12:00:00+00:00,643.02738095,59.5333333325,23.625,665.608333325,61.3571428575,23.35,17.075,204.0,548.756597225,37.25,15.625
2025-04-01 13:00:00+00:00,612.72399265,60.726190475,23.625,631.26147185,60.56190476,23.45,16.825,221.0,487.74081440000003,32.25,14.1
2025-04-01 14:00:00+00:00,535.0689033,65.220238095,23.5,574.375,63.620238095,24.0,16.8,236.625,391.946726175,25.75,13.675
2025-04-01 15:00:00+00:00,491.975,65.3833333325,23.775,540.125,63.551190475,24.6,17.075,250.5,271.67754122499997,18.0,13.149999999999999
2025-04-01 16:00:00+00:00,477.635714275,65.33333333249999,23.9,527.25,63.023809525,25.35,16.7375,263.5,138.1265567975,10.0,12.6
2025-04-01 17:00:00+00:00,476.25,65.2666666675,23.875,520.458333325,62.953846155,24.575,16.9,276.25,28.6240384625,1.5,10.825
2025-04-01 18:00:00+00:00,482.875,0.875,23.65,521.75,0.875,23.6,15.475,288.75,0.075,-7.0,8.625
2025-04-01 19:00:00+00:00,512.104166675,0.0,23.475,532.708333325,0.0,23.3,14.175,301.75,0.0,-14.25,7.525
2025-04-01 20:00:00+00:00,497.125,0.0,23.175,540.375,0.0,23.025,12.75,315.75,0.0,-21.0,7.175
2025-04-01 21:00:00+00:00,492.375,0.0,22.925,535.75,0.0,22.7,11.675,330.5,0.0,-26.25,7.05
2025-04-01 22:00:00+00:00,486.375,0.0,22.7,529.875,0.0,22.5,10.825,347.0,0.0,-29.25,6.625
2025-04-01 23:00:00+00:00,480.6875,0.0,22.5,525.5,0.0,22.275,10.15,64.833333325,0.0,-30.0,7.375
2025-04-02 00:00:00+00:00,474.375,0.0,22.375,520.0,0.0,22.125,9.6,21.875,0.0,-28.0,7.0
2025-04-02 01:00:00+00:00,469.625,0.0,22.25,513.875,0.0,21.95,9.725,36.75,0.0,-23.75,7.475
2025-04-02 02:00:00+00:00,472.028571425,0.0,22.075000000000003,518.145833325,0.0,21.924999999999997,13.425,51.75,0.0,-17.75,6.925
2025-04-02 03:00:00+00:00,484.077777775,61.53474026,22.1,522.725,62.055952379999994,21.85,17.3583333325,65.5,0.0,-10.0,10.275
2025-04-02 04:00:00+00:00,458.972222225,61.4535714275,22.0,501.25,62.076739925,21.9,16.85,77.75,4.1875,-2.0,10.4
2025-04-02 05:00:00+00:00,482.082070725,61.45,22.05,504.604166675,62.27875458,22.075,17.075,90.5,71.773237175,6.0,9.575
2025-04-02 06:00:00+00:00,541.928571425,61.25,22.225,576.1714285749999,64.06309524,22.45,17.1,103.0,199.56095240000002,14.5,10.4
2025-04-02 07:00:00+00:00,649.97884615,60.5333333325,22.6,664.0142045499999,65.6559523825,22.525,17.075,116.0,326.60978935,22.75,11.075
2025-04-02 08:00:00+00:00,755.28809525,60.6999999975,23.0,754.718055525,66.261309525,22.7,16.9,131.0,413.33125,29.75,12.125
2025-04-02 09:00:00+00:00,713.25714285,62.2880952375,23.375,712.5345238,65.69514652,22.8,17.05,147.5,499.241666675,35.5,13.95
2025-04-02 10:00:00+00:00,654.724358975,62.8833333325,23.475,660.8110806249999,64.3821428575,22.85,17.1,165.75,565.928525625,39.0,14.55
2025-04-02 11:00:00+00:00,644.2405982749999,63.766666665,23.425,638.62403845,63.9535714275,22.975,17.075000000000003,185.0,581.6842262,40.0,15.25
2025-04-02 12:00:00+00:00,624.556998525,63.240476189999995,23.475,637.298809525,63.548809524999996,23.0,17.05,204.0,550.188541675,38.0,15.15
2025-04-02 13:00:00+00:00,561.908216775,64.3666666675,23.45,585.066666675,64.6226190475,23.225,17.225,221.0,490.0385119,33.25,16.05
2025-04-02 14:00:00+00:00,488.578571425,64.1785714275,23.4,541.25,63.7762820525,23.825,17.2,237.125,390.007719775,27.0,17.525
2025-04-02 15:00:00+00:00,455.125,65.2000000025,23.6,505.375,64.2583333325,24.575000000000003,16.55,251.0,274.182820525,19.0,17.85
2025-04-02 16:00:00+00:00,440.083333325,65.1166666675,23.775,490.125,64.4019230775,25.5,16.85,263.625,141.3394047575,11.0,15.35
2025-04-02 17:00:00+00:00,434.75,65.204761905,23.8,484.5,63.9528388275,24.675,17.3875,276.5,31.0357142875,2.25,12.775
2025-04-02 18:00:00+00:00,435.625,0.375,23.55,482.25,6.6666666675,23.675,16.625,288.75,0.275,-7.0,10.9
2025-04-02 19:00:00+00:00,433.5,0.0,23.35,479.25,0.0,23.425,15.675,301.5,0.0,-14.75,11.375
2025-04-02 20:00:00+00:00,432.0,0.0,23.125,476.625,0.0,23.125,13.725,316.0,0.0,-21.25,10.75
2025-04-02 21:00:00+00:00,429.45,0.0,22.925,475.125,0.0,22.9,12.6,331.25,0.0,-26.5,10.075
2025-04-02 22:00:00+00:00,428.0,0.0,22.75,472.0,0.0,22.65,12.1,348.125,0.0,-29.0,9.8
2025-04-02 23:00:00+00:00,427.125,0.0,22.625,470.625,0.0,22.5,11.75,65.083333325,0.0,-29.5,8.875
2025-04-03 00:00:00+00:00,423.625,0.0,22.5,467.25,0.0,22.325,11.35,21.875,0.0,-27.25,8.7
2025-04-03 01:00:00+00:00,422.5,0.0,22.4,465.458333325,0.0,22.225,10.95,36.75,0.0,-23.0,8.55
2025-04-03 02:00:00+00:00,429.21428572499997,0.0,22.35,469.875,0.0,22.175,10.625,51.75,0.0,-16.75,7.95
2025-04-03 03:00:00+00:00,439.25,62.4770833325,22.3,477.0,63.7877976175,22.075000000000003,16.40375,65.5,0.0,-9.0,9.8375
2025-04-03 04:00:00+00:00,438.375,62.8,22.15,479.75,62.7832417575,21.95,16.95,77.75,5.14375,-1.0,10.05
2025-04-03 05:00:00+00:00,476.505555575,62.61547619,22.075,513.1949404750001,62.7962454225,21.924999999999997,17.275,90.5,78.4589881025,7.0,8.6
2025-04-03 06:00:00+00:00,566.5303030499999,62.649999997500004,22.275,607.800480775,63.1285714275,22.3,17.075,103.0,205.671289675,15.5,9.8
