,HTRK_VEN01_EM01_P,HTRK_VEN01_FCI01
2025-08-31 22:00:00+00:00,28.86537719,38910.06883
2025-08-31 22:05:00+00:00,26.19890426,34087.25286
2025-08-31 22:10:00+00:00,24.71511111,32447.8065
2025-08-31 22:15:00+00:00,25.02097619,32503.2823
2025-08-31 22:20:00+00:00,25.07816667,32567.54
2025-08-31 22:25:00+00:00,24.51281053,32628.55169
2025-08-31 22:30:00+00:00,24.51674864,32565.4768
2025-08-31 22:35:00+00:00,24.50984091,32594.51554
2025-08-31 22:40:00+00:00,24.76772427,32640.29892
2025-08-31 22:45:00+00:00,24.66042157,32559.21241
2025-08-31 22:50:00+00:00,24.24833333,32554.76343
2025-08-31 22:55:00+00:00,24.44304895,32562.38395
2025-08-31 23:00:00+00:00,24.7371587,32725.2628
2025-08-31 23:05:00+00:00,24.56247006,32656.6843
2025-08-31 23:10:00+00:00,24.66131548,32643.30642
2025-08-31 23:15:00+00:00,24.95545238,32727.05414
2025-08-31 23:20:00+00:00,24.64292632,32575.9965
2025-08-31 23:25:00+00:00,24.4798208,32557.90374
2025-08-31 23:30:00+00:00,24.67637556,32459.00435
2025-08-31 23:35:00+00:00,24.6610404,32542.358
2025-08-31 23:40:00+00:00,24.66381011,32535.33371
2025-08-31 23:45:00+00:00,24.63,32586.03
2025-08-31 23:50:00+00:00,24.66043627,32394.83369
2025-08-31 23:55:00+00:00,24.35547368,32408.03015
2025-09-01 00:00:00+00:00,24.58467081,32591.21075
2025-09-01 00:05:00+00:00,24.1438,32415.15291
2025-09-01 00:10:00+00:00,24.9316,32431.68
2025-09-01 00:15:00+00:00,24.0229247,32451.5225
2025-09-01 00:20:00+00:00,24.92546296,32655.18156
2025-09-01 00:25:00+00:00,24.85816667,32535.77987
2025-09-01 00:30:00+00:00,24.52471655,32379.44975
2025-09-01 00:35:00+00:00,24.33302083,32482.30523
2025-09-01 00:40:00+00:00,24.02780303,32465.50314
2025-09-01 00:45:00+00:00,24.27910723,32512.49115
2025-09-01 00:50:00+00:00,24.39988889,32556.74664
2025-09-01 00:55:00+00:00,24.35985314,32556.03308
2025-09-01 01:00:00+00:00,24.37018531,32535.53844
2025-09-01 01:05:00+00:00,24.5,32499.3
2025-09-01 01:10:00+00:00,24.39866667,32378.34567
2025-09-01 01:15:00+00:00,24.46459596,32321.76311
2025-09-01 01:20:00+00:00,24.62085419,32468.68637
2025-09-01 01:25:00+00:00,24.69394841,32601.6025
2025-09-01 01:30:00+00:00,25.24186667,32725.27772
2025-09-01 01:35:00+00:00,25.02458222,32503.51912
2025-09-01 01:40:00+00:00,24.3175961,32670.34223
2025-09-01 01:45:00+00:00,24.38116241,32648.83956
2025-09-01 01:50:00+00:00,24.58788077,32735.48549
