hour,qv_min,qv_max,qv_mean,qv_median,qv_p10,qv_p90,n,qv_range,qv_iqr_like
0,0.0,122.8550877,14.723360697580645,0.0,0.0,109.15220697,124,122.8550877,109.15220697
1,0.0,176.9614159,17.030511846774193,0.0,0.0,122.20805307,124,176.9614159,122.20805307
2,0.0,285.2356741,22.905228052419357,0.0,0.0,136.59940195000001,124,285.2356741,136.59940195000001
3,0.0,277.8417163,44.20830158889516,51.086838755,0.0,59.811891844,124,277.8417163,59.811891844
4,0.0,269.8033685,81.03514037064515,59.11826302,0.0,214.22370624000004,124,269.8033685,214.22370624000004
5,0.0,289.5888712,126.90797354741936,101.012845545,0.0,267.42496706,124,289.5888712,267.42496706
6,0.0,274.8616723,147.94036330879032,169.88410835,0.0,270.45969375000004,124,274.8616723,270.45969375000004
7,0.0,276.277569,173.9446490082258,256.33037225,0.0,269.67394264,124,276.277569,269.67394264
8,0.0,276.394608,182.9782082798387,265.23794745,0.0,271.91722412999997,124,276.394608,271.91722412999997
9,0.0,277.2225659,178.16276063387096,262.4761654,0.0,271.27116516,124,277.2225659,271.27116516
10,0.0,280.1773333,176.87744041209677,262.7553379,0.0,273.35270914,124,280.1773333,273.35270914
11,0.0,279.0216782,177.38106131669355,262.5892724,0.0,271.86285702,124,279.0216782,271.86285702
12,0.0,282.2637121,178.82445966596774,259.4983966,0.0,274.29560438000004,124,282.2637121,274.29560438000004
13,0.0,279.4950643,179.62234694540322,261.7070294,0.0,274.04909646,124,279.4950643,274.04909646
14,0.0,275.6578487,76.23423110806452,53.546807825,0.0,233.60830101000008,124,275.6578487,233.60830101000008
15,0.0,137.4072255,42.17175093064516,52.631812665,0.0,55.94299245,124,137.4072255,55.94299245
16,0.0,56.41483254,37.93723833048387,52.888099600000004,0.0,54.884921946,124,56.41483254,54.884921946
17,0.0,57.2875094,37.99309717741935,52.785523505,0.0,54.78008392,124,57.2875094,54.78008392
18,0.0,29.14285714,2.9672728890564515,0.0,0.0,14.169417054,124,29.14285714,14.169417054
19,0.0,0.0,0.0,0.0,0.0,0.0,124,0.0,0.0
20,0.0,0.0,0.0,0.0,0.0,0.0,124,0.0,0.0
21,0.0,111.6873192,11.991463920241936,0.0,0.0,67.400094834,124,111.6873192,67.400094834
22,0.0,110.9473545,13.710555621774192,0.0,0.0,104.37187952000001,124,110.9473545,104.37187952000001
23,0.0,112.4316603,13.939371243548388,0.0,0.0,106.10953119,124,112.4316603,106.10953119
